A.de content.tsv
Level	Esperanto	de	en-us	Grupo	Alternativoj	Pronoco
level	tiom da mono kiom da ideoj	so viel Geld wie Ideen	as much money as ideas	grupo	alternativoj	prononco
level	se mi havus tiom da mono	wenn ich so viel Geld hätte	if I had that much money	grupo	alternativoj	prononco
level	mi vojaĝadus	Ich würde reisen	I would travel	grupo	alternativoj	prononco
level	ĉirkaŭ la mondo	auf der ganzen Welt	around the world	grupo	alternativoj	prononco
level	en ĉiu vortaro	in jedem Wörterbuch	in every dictionary	grupo	alternativoj	prononco
level	mankas io	etwas fehlt	something is missing	grupo	alternativoj	prononco
level	mankas kelkaj vortoj	einige Wörter fehlen	some words are missing	grupo	alternativoj	prononco
level	homo, kiu longe parolis	ein Mann, der ausführlich sprach	a man who spoke at length	grupo	alternativoj	prononco
level	ĉe la manĝotablo	am Esstisch	at the dining table	grupo	alternativoj	prononco
level	homo, kiu rakontas, restos malsata	Wer es erzählt, bleibt hungrig	a person who tells will remain hungry	grupo	alternativoj	prononco
level	rakontadas ĉe la manĝo tablo	erzählt immer wieder am Esstisch	keeps telling at the dining table	grupo	alternativoj	prononco
level	li devis atenti ~	er musste auf ~ achten	he had to pay attention to ~	grupo	alternativoj	prononco
level	ne rajtis ~	durfte nicht ~	was not allowed to ~	grupo	alternativoj	prononco
level	rajtis resti	durfte bleiben	was allowed to stay	grupo	alternativoj	prononco
level	ne rajtis longe resti	durfte nicht lange bleiben	was not allowed to stay long	grupo	alternativoj	prononco
level	resti ekstere en pluvo	im Regen draußen bleiben	to stay out in the rain	grupo	alternativoj	prononco
level	tial li malvarmumis	Deshalb hat er sich erkältet	that's why he caught a cold	grupo	alternativoj	prononco
level	li havas sian klaran ideon	er hat seine eigene klare Idee	he has his own clear idea	grupo	alternativoj	prononco
level	sed li kredos ĉion	aber er wird alles glauben	but he will believe everything	grupo	alternativoj	prononco
level	ĉion, kion vi diros	was auch immer du sagst	whatever you say	grupo	alternativoj	prononco
level	kvazaŭ vi estus lia edzino	als wärst du seine Frau	as if you were his wife	grupo	alternativoj	prononco
level	viaj gepatroj	deine Eltern	your parents	grupo	alternativoj	prononco
level	ĝojigi viajn gepatrojn	um deine Eltern glücklich zu machen	to make your parents happy	grupo	alternativoj	prononco
level	kio povus ĝojigi ~ ?	Was könnte ~ gefallen?	what could please ~ ?	grupo	alternativoj	prononco
level	kio povus plej ĝojigi viajn gepatrojn?	Was könnte deine Eltern am glücklichsten machen?	what could make your parents the most happy?	grupo	alternativoj	prononco
level	post la lernado	nach dem Lernen	after the learning	grupo	alternativoj	prononco
level	almenaŭ post la lernado	Zumindest nach dem Lernen	at least after the learning	grupo	alternativoj	prononco
level	en la urbocentron	in die Innenstadt	into the city center	grupo	alternativoj	prononco
level	se vi irus kun mi	wenn du mit mir gehen würdest	if you would go with me	grupo	alternativoj	prononco
level	se vi irus kun mi en la urbocentron	wenn du mit mir in die Innenstadt gehen würdest	if you would go downtown with me	grupo	alternativoj	prononco
level	kien vi dezirus vojaĝi?	wohin möchten Sie gerne verreisen?	where would you like to travel?	grupo	alternativoj	prononco
level	se vi havus ~	wenn du ~ hättest	if you had ~	grupo	alternativoj	prononco
level	sufiĉe da mono	genug Geld	enough money	grupo	alternativoj	prononco
level	se vi havus sufiĉe da mono kaj tempo	wenn man genug Geld und Zeit hätte	if you had enough money and temp	grupo	alternativoj	prononco
level	ĉu vi planas ~ ?	hast du vor ~ ?	are you planning to ~ ?	grupo	alternativoj	prononco
level	planas veturi al Parizo	plant eine Reise nach Paris	plans to travel to Paris	grupo	alternativoj	prononco
level	veturi per aŭto	mit einem Axuto fahren	to drive with an axuto	grupo	alternativoj	prononco
level	multe pli bone	viel besser	much better	grupo	alternativoj	prononco
level	ŝajnas multe pli bone	scheint viel besser zu sein	seems much better	grupo	alternativoj	prononco
level	per vagonaro	mit dem Zug	by train	grupo	alternativoj	prononco
level	aŭ ĉu ne ŝajnas esti multe pli bone?	oder scheint es nicht viel besser zu sein?	or doesn't it seem to be much better?	grupo	alternativoj	prononco
level	diversaj homoj	verschiedene Leute	various people	grupo	alternativoj	prononco
level	kial homoj klarigas diversmaniere?	Warum erklären die Leute auf unterschiedliche Weise?	why do people explain in different ways?	grupo	alternativoj	prononco
level	samaj ideoj	gleiche Ideen	same ideas	grupo	alternativoj	prononco
level	klarigas samajn ideojn	erklärt die gleichen Ideen	explains the same ideas	grupo	alternativoj	prononco
level	familianoj kunvenas	Familienmitglieder kommen zusammen	family members get together	grupo	alternativoj	prononco
level	kiel rapide	wie schnell	how quickly	grupo	alternativoj	prononco
level	tagoj pasas	Tage vergehen	days pass	grupo	alternativoj	prononco
level	kiel rapide pasas tagoj!	wie schnell die Tage vergehen!	how quickly the days pass!	grupo	alternativoj	prononco
level	morgaŭ estos ~	morgen wird ~ sein	tomorrow will be ~	grupo	alternativoj	prononco
level	la naskiĝtago de via patro	Geburtstag deines Vaters	your father's birthday	grupo	alternativoj	prononco
level	kelkaj familianoj	mehrere Familienmitglieder	several family members	grupo	alternativoj	prononco
level	alvenos kelkaj familianoj	mehrere Familienmitglieder werden kommen	several family members will come	grupo	alternativoj	prononco
level	kaj geamikoj	und Freunde	and friends	grupo	alternativoj	prononco
level	ĉu vi bonvolus ~ ?	Würden Sie bitte ~?	would you please ~ ?	grupo	alternativoj	prononco
level	ĉu vi bonvolus iom helpi?	Könnten Sie bitte ein wenig helfen?	could you please help a little?	grupo	alternativoj	prononco
level	iomete da tempo	eine kleine Weile	a little while	grupo	alternativoj	prononco
level	trovu iomete da tempo	finde ein bisschen Zeit	find a little time	grupo	alternativoj	prononco
level	por ordigi vian ĉambron	um dein Zimmer aufzuräumen	to tidy your room	grupo	alternativoj	prononco
level	almenaŭ por ordigi vian ĉambron	zumindest um dein Zimmer aufzuräumen	at least to tidy your room	grupo	alternativoj	prononco
level	mi ŝatus ~	Ich möchte ~	I would like ~	grupo	alternativoj	prononco
level	mi ŝatus kuiri ion	Ich möchte etwas kochen	I would like to cook something	grupo	alternativoj	prononco
level	ion bonan	etwas Gutes	something good	grupo	alternativoj	prononco
level	kuiri ion bonan	etwas Gutes kochen	cook something good	grupo	alternativoj	prononco
level	por la naskiĝ-taga kuko	für die Geburtstagstorte	for the birthday cake	grupo	alternativoj	prononco
level	mankas lakto	es fehlt an Milch	is lacking of milk	grupo	alternativoj	prononco
level	en la hejmo	im Haus	in the home	grupo	alternativoj	prononco
level	necesas havigi ~	es ist notwendig, ~ zu beschaffen	it is necessary to procure ~	grupo	alternativoj	prononco
level	iom da manĝaĵo	etwas zu essen	some food	grupo	alternativoj	prononco
level	el vendejo	aus einem Geschäft	from a store	grupo	alternativoj	prononco
level	havigi iom da manĝaĵo el vendejo	etwas Essen aus einem Versteck holen	to get some food from a hideout	grupo	alternativoj	prononco
level	mi aĉetumos	Ich werde einkaufen gehen	I will do shopping	grupo	alternativoj	prononco
level	por la naskiĝtago	zum Geburtstag	for the birthday	grupo	alternativoj	prononco
level	anstataŭ sidi kaj manĝegi	statt zu sitzen und zu essen	instead of sitting and eating	grupo	alternativoj	prononco
level	interesaj homoj	interessante Leute	interesting people	grupo	alternativoj	prononco
level	kun neinteresaj familianoj	mit uninteressanten Familienmitgliedern	with uninteresting family members	grupo	alternativoj	prononco
level	mi ŝatus ekskursi	Ich würde gerne ein Picknick machen	I would like to go on a picnic	grupo	alternativoj	prononco
level	kun klubanoj	mit Vereinsmitgliedern	with club members	grupo	alternativoj	prononco
level	kun kiuj klubanoj?	mit welchen Vereinsmitgliedern?	with which club members?	grupo	alternativoj	prononco
level	diris la patro	sagte der Vater	said the father	grupo	alternativoj	prononco
level	ia papero, iaj paperoj	irgendeine Art von Papier, irgendeine Art von Papieren	some kind of paper, some kind of papers	grupo	alternativoj	prononco
level	en paperujo	in einer Aktentasche	in a briefcase	grupo	alternativoj	prononco
level	en paperujon	in einen Papierkorb	into a paper bin	grupo	alternativoj	prononco
level	ĵetis paperojn en paperujon	warf Papiere in einen Papierkorb	threw papers into a paper bin	grupo	alternativoj	prononco
level	ĵetis iajn paperojn en paperujon	warf ein paar Papiere in einen Papierkorb	threw some papers into a paper bin	grupo	alternativoj	prononco
level	morgaŭ frue	Morgen früh	early tomorrow	grupo	alternativoj	prononco
level	anoj de mia sporta klubo	Mitglieder meines Sportvereins	members of my sports club	grupo	alternativoj	prononco
level	kara mia	Mein Schatz	my dear	grupo	alternativoj	prononco
level	ĉu ĝuste ~ ?	ist das richtig?	is that right?	grupo	alternativoj	prononco
level	vi devas foresti	Du musst abwesend sein	you must be absent	grupo	alternativoj	prononco
level	ĉu vi ne ~ ?	nicht wahr ~ ?	don't you ~ ?	grupo	alternativoj	prononco
level	viaj samklubanoj	Ihre Vereinskollegen	your fellow club members	grupo	alternativoj	prononco
level	intervidiĝas kun viaj samklubanoj	sieht sich mit den anderen Vereinsmitgliedern	sees each other with your fellow club members	grupo	alternativoj	prononco
level	trifoje semajne	dreimal in der Woche	three times a week	grupo	alternativoj	prononco
level	ĉu mi rajtas ~ ?	Darf ich ~?	may I ~ ?	grupo	alternativoj	prononco
level	rajtas ion proponi	hat das Recht, etwas vorzuschlagen	has the right to propose something	grupo	alternativoj	prononco
level	mi kunmanĝos kun la familianoj	Ich werde mit den Familienmitgliedern essen	I will eat with the family members	grupo	alternativoj	prononco
level	sed en la dua parto	aber im zweiten Teil	but in the second part	grupo	alternativoj	prononco
level	mi foriros kun miaj geamikoj	Ich werde mit meinen Freunden gehen	I will go with my friends	grupo	alternativoj	prononco
level	parolos pri ~	werde über ~ reden	will talk about ~	grupo	alternativoj	prononco
level	malsukcesa veturado	ein ausgefallenes Laufwerk	a failed drive	grupo	alternativoj	prononco
level	certe parolos pri la malsukcesa veturado	Ich werde auf jeden Fall über das ausgefallene Laufwerk sprechen	will definitely talk about the failed drive	grupo	alternativoj	prononco
level	post la kuko	nach dem Kuchen	after the cake	grupo	alternativoj	prononco
level	mi ne plu volas tion	Das will ich nicht mehr	I don't want that anymore	grupo	alternativoj	prononco
level	volas tion aŭdi	will das hören	wants to hear that	grupo	alternativoj	prononco
level	kial ni ne havas ~ ?	Warum haben wir nicht ~?	why don't we have ~ ?	grupo	alternativoj	prononco
level	ideoriĉa onklo	ein ideenreicher Onkel	an idea-rich uncle	grupo	alternativoj	prononco
level	havas iun ideoriĉan onklon	hat eine Idee, mein reicher Onkel	has some idea rich uncle	grupo	alternativoj	prononco
level	en mia familio	in meiner Familie	in my family	grupo	alternativoj	prononco
level	la patrino ridetis	Die Mutter lächelte	the mother smiled	grupo	alternativoj	prononco
level	je liaj vortoj	bei seinen Worten	at his words	grupo	alternativoj	prononco
level	ŝi scias, ke ~	das weiß sie ~	she knows that ~	grupo	alternativoj	prononco
level	iom tro parolas	redet etwas zu viel	talks a little too much	grupo	alternativoj	prononco
level	ne sufiĉas nur ~	Es reicht nicht nur ~	it's not enough just ~	grupo	alternativoj	prononco
level	riĉeco de la ideoj	Fülle an Ideen	wealth of ideas	grupo	alternativoj	prononco
level	necesas ankaŭ ~	~ wird auch benötigt	~ is also needed	grupo	alternativoj	prononco
level	plena monujo por realigi ĝin	eine volle Brieftasche, um dies zu ermöglichen	a full wallet to make it happen	grupo	alternativoj	prononco
level	la patrino daŭrigis ~	Die Mutter fuhr fort ~	the mother continued ~	grupo	alternativoj	prononco
level	post iom da silento	nach einer kurzen Stille	after a little silence	grupo	alternativoj	prononco
level	antaŭ kelkaj minutoj	vor ein paar Minuten	a few minutes ago	grupo	alternativoj	prononco
level	Ana telefonis, ke ŝi ~	Ana nannte das sie ~	Ana called that she ~	grupo	alternativoj	prononco
level	ankaŭ ŝi vizitos nin	Sie wird uns auch besuchen	she will also visit us	grupo	alternativoj	prononco
level	dolĉa kuko	ein süßer Kuchen	a sweet cake	grupo	alternativoj	prononco
level	ŝi tre ŝatas dolĉan kukon	Sie mag süßen Kuchen sehr	she really likes sweet cake	grupo	alternativoj	prononco
level	atentas por ne dikiĝi	achtet darauf, nicht dick zu werden	is careful not to get fat	grupo	alternativoj	prononco
level	kvankam ŝi atentos	obwohl sie aufpassen wird	although she will pay attention	grupo	alternativoj	prononco
level	tuj ŝanĝis la opinion	änderte sofort meine Meinung	immediately changed the mind	grupo	alternativoj	prononco
level	dum la ekskurso	während der Exkursion	during the excursion	grupo	alternativoj	prononco
level	sen ŝi	ohne sie	without her	grupo	alternativoj	prononco
level	li estus tre soleca	er wäre sehr einsam	he would be very lonely	grupo	alternativoj	prononco
level	mi tamen pasigos	Ich werde aber bestehen	I will pass though	grupo	alternativoj	prononco
level	mi tamen pasigos la morgaŭan tagon hejme	Ich werde den Morgen jedoch zu Hause verbringen	I will spend tomorrow at home though	grupo	alternativoj	prononco
level	en juneco	In der Jugend	in youth	grupo	alternativoj	prononco
level	oni havas	hat man	one has	grupo	alternativoj	prononco
level	havas ankaŭ belecon	hat auch Schönheit	also has beauty	grupo	alternativoj	prononco
level	malsimplaj laboroj	komplizierte Aufgaben	complicated jobs	grupo	alternativoj	prononco
level	malsimplajn laborojn	komplizierte Aufgaben (objektiv)	complicated jobs (objective)	grupo	alternativoj	prononco
level	devus plisimpligi	sollte vereinfachen	should simplify	grupo	alternativoj	prononco
level	en tiu aĝo	in diesem Alter	at that age	grupo	alternativoj	prononco
level	li jam fariĝis ~	er ist schon ~ geworden	he has already become ~	grupo	alternativoj	prononco
level	estro de la sporta klubo	Leiter des Sportvereins	head of the sports club	grupo	alternativoj	prononco
level	monon oni metas	man steckt Geld	one puts money	grupo	alternativoj	prononco
level	en monujon	in eine Brieftasche	into a wallet	grupo	alternativoj	prononco
level	metas en monujon	steckt in eine Handtasche	puts in a purse	grupo	alternativoj	prononco
level	sekvu la ekzemplojn	Folgen Sie den Beispielen	follow the examples	grupo	alternativoj	prononco
level	de la bonaj familianoj	von den guten Familienmitgliedern	from the good family members	grupo	alternativoj	prononco
level	ĉu amikeco pli feliĉigas?	Macht Freundschaft glücklicher?	does friendship make you happier?	grupo	alternativoj	prononco
level	feliĉigas vin	macht dich glücklich	makes you happy	grupo	alternativoj	prononco
level	ol la amo	als die Liebe	than the love	grupo	alternativoj	prononco
level	kiel ofte vi ~ ?	Wie oft machst du ~?	how often do you ~ ?	grupo	alternativoj	prononco
level	vi skribas leterojn al ~	Du schreibst Briefe an ~	you write letters to ~	grupo	alternativoj	prononco
level	skrivas leterojn al viaj amikinoj	schreibt Briefe an deine Freundinnen	writes letters to your girl friends	grupo	alternativoj	prononco
level	viaj amikinoj en Italio	Deine Freundinnen in Italien	your girl friends in Italy	grupo	alternativoj	prononco
level	la rilato inter vi kaj via instruisto	die Beziehung zwischen Ihnen und Ihrem Lehrer	the relation between you and your teacher	grupo	alternativoj	prononco
level	ĉu la rilato ŝanĝiĝis?	Hat sich die Beziehung verändert?	has the relationship changed?	grupo	alternativoj	prononco
level	ĉu vi jam scias ~ ?	weißt du schon ~?	do you already know ~ ?	grupo	alternativoj	prononco
level	sufiĉe bone	ziemlich gut	quite well	grupo	alternativoj	prononco
level	estis vespero en ~	Es war Abend in ~	it was evening in ~	grupo	alternativoj	prononco
level	centoj da homoj	Hunderte von Menschen	hundreds of people	grupo	alternativoj	prononco
level	plenigas la placon	füllt das Quadrat	fills the square	grupo	alternativoj	prononco
level	junuloj kaj militistoj	junge Männer und Soldaten	young men and soldiers	grupo	alternativoj	prononco
level	maristoj de sur la ŝipoj	Matrosen von den Schiffen	sailors from the ships	grupo	alternativoj	prononco
level	elstara sinjorino	herausragende Dame	outstanding lady	grupo	alternativoj	prononco
level	elstaraj sinjorinoj	herausragende Damen	outstanding ladies	grupo	alternativoj	prononco
level	alilandaj vojaĝantoj	ausländische Reisende	foreign travelers	grupo	alternativoj	prononco
level	ĉiuj moviĝas al urbomezo	Alle ziehen in die Innenstadt	everyone is moving to the city center	grupo	alternativoj	prononco
level	iom plue	ein bisschen weiter	a little further	grupo	alternativoj	prononco
level	ne malproksime de la maro	nicht weit vom Meer entfernt	not far from the sea	grupo	alternativoj	prononco
level	troviĝis malgranda placo	Es gab einen kleinen Platz	there was a small square	grupo	alternativoj	prononco
level	iom plue sed ne malproksime	etwas weiter, aber nicht weit	a little further but not far	grupo	alternativoj	prononco
level	fine de ĝi	am Ende davon	at the end of it	grupo	alternativoj	prononco
level	proksime de la maro	Nahe dem Meer	near the sea	grupo	alternativoj	prononco
level	proksime staris homo	ein Mann stand in der Nähe	a man stood nearby	grupo	alternativoj	prononco
level	laŭ la vestaĵo	je nach Kleidung	according to the clothing	grupo	alternativoj	prononco
level	oni facile scii ~	man kann es leicht wissen ~	one may know easily ~	grupo	alternativoj	prononco
level	oni povis ekscii, ke ~	es war möglich herauszufinden, dass ~	it was possible to find out that ~	grupo	alternativoj	prononco
level	gondolisto de iu riĉulo	der Gondoliere eines reichen Mannes	a rich man's gondolier	grupo	alternativoj	prononco
level	povis ekscii, ke li estas gondolisto	konnte herausfinden, dass er ein Gondoliere war	could find out that he was a gondolier	grupo	alternativoj	prononco
level	li rigardis ~	er sah ~	he looked ~	grupo	alternativoj	prononco
level	rigardis la ĝojan hommulton	blickte auf die fröhliche Menge	looked at the joyful crowd	grupo	alternativoj	prononco
level	rideto lumigis lian vizaĝon	ein Lächeln erhellte sein Gesicht	a smile lit up his face	grupo	alternativoj	prononco
level	kiam li ekvidis mariston	als er einen Seemann sah	when he saw a sailor	grupo	alternativoj	prononco
level	la mariston, kiu alvenis	der Seemann, der angekommen ist	the sailor who arrived	grupo	alternativoj	prononco
level	la flanko de la maro	der Seite des Meeres	the side of the sea	grupo	alternativoj	prononco
level	alvenis el la flanko de la maro	kam von der Seite des Meeres	arrived from the side of the sea	grupo	alternativoj	prononco
level	ĉu tio estas vi, Stefano?	Bist du das, Stephen?	is that you, Stephen?	grupo	alternativoj	prononco
level	ekkriis la gondolisto	rief der Gondoliere	exclaimed the gondolier	grupo	alternativoj	prononco
level	ĉiuj diras, ke ~	Jeder sagt das ~	everyone says that ~	grupo	alternativoj	prononco
level	en la manojn de la Turkoj	in die Hände der Türken	into the hands of the Turks	grupo	alternativoj	prononco
level	ke vi falis en la manojn de la Turkoj	dass du in die Hände der Türken gefallen bist	that you fell into the hands of the Turks	grupo	alternativoj	prononco
level	ni renkontis unu	wir haben einen getroffen	we met one	grupo	alternativoj	prononco
level	el niaj ŝipoj	von unseren Schiffen	from our ships	grupo	alternativoj	prononco
level	ĝi sekvis nin	es folgte uns	it followed us	grupo	alternativoj	prononco
level	dum pli ol unu horo	für mehr als eine Stunde	for more than an hour	grupo	alternativoj	prononco
level	sed ne estas facile iri ~	aber es ist nicht einfach zu gehen ~	but it is not easy to go ~	grupo	alternativoj	prononco
level	iri pli rapide ol nia ŝipo	schneller zu sein als unser Schiff	to go faster than our ship	grupo	alternativoj	prononco
level	kiaj novaĵoj estas tie ĉi?	Welche Neuigkeiten gibt es hier?	what news is here?	grupo	alternativoj	prononco
level	tie ĉi en Venecio	hier in Venedig	here in Venice	grupo	alternativoj	prononco
level	nenio interesa	nichts Interessantes	nothing interesting	grupo	alternativoj	prononco
level	nur granda malfeliĉo	einfach ein großes Unglück	just a big misfortune	grupo	alternativoj	prononco
level	ĉu vi konas Pietron?	kennst du Pietro?	do you know Pietro?	grupo	alternativoj	prononco
level	mi konas lin	ich kenne ihn	I know him	grupo	alternativoj	prononco
level	granda ŝipo subakvigis lian gondolon	Ein großes Schiff versenkte seine Gondel	a large ship submerged his gondola	grupo	alternativoj	prononco
level	kaj kio pri li?	und was ist mit ihm?	and what about him?	grupo	alternativoj	prononco
level	la gondolo subakviĝis	die Gondel sank	the gondola sank	grupo	alternativoj	prononco
level	okazis, ke ~	es ist passiert, dass ~	it happened that ~	grupo	alternativoj	prononco
level	ni troviĝis proksime	wir waren nah dran	we were close	grupo	alternativoj	prononco
level	ni prenis lin en nian gondolon	Wir haben ihn in unserer Gondel mitgenommen	we took him in our gondola	grupo	alternativoj	prononco
level	en la sama tempo	gleichzeitig	at the same time	grupo	alternativoj	prononco
level	mia estro subakviĝis	Mein Chef ist ertrunken	my boss drowned	grupo	alternativoj	prononco
level	por helpi junulinon	einer jungen Frau helfen	to help a young woman	grupo	alternativoj	prononco
level	junulinon, kiu preskaŭ mortis	eine junge Frau, die fast gestorben wäre	a young woman who almost died	grupo	alternativoj	prononco
level	kun sia onklo	mit seinem Onkel	with his uncle	grupo	alternativoj	prononco
level	preskaŭ mortis kun sia onklo	wäre fast mit seinem Onkel gestorben	almost died with his uncle	grupo	alternativoj	prononco
level	tie estis junulino	Da war eine junge Frau	there was a young woman	grupo	alternativoj	prononco
level	lin ni ne povis helpi	wir konnten ihm nicht helfen	we could not help him	grupo	alternativoj	prononco
level	estis grava homo	war eine wichtige Person	was an important person	grupo	alternativoj	prononco
level	kio alvenigis vin en Venecion?	Was hat dich nach Venedig geführt?	what brought you to Venice?	grupo	alternativoj	prononco
level	amiko mia	mein Freund	my friend	grupo	alternativoj	prononco
level	la maristo ekrigardis	Der Matrose blickte auf	the sailor looked up	grupo	alternativoj	prononco
level	rapide ekrigardis sian amikon	warf seinem Freund einen schnellen Blick zu	quickly glanced at his friend	grupo	alternativoj	prononco
level	kaj komencis diri	und begann zu sagen	and began to say	grupo	alternativoj	prononco
level	do vi scias ~	also weißt du ~	so you know ~	grupo	alternativoj	prononco
level	mi alportis ~	Ich habe ~ mitgebracht	I brought ~	grupo	alternativoj	prononco
level	la gondolisto subite haltigis lin	der Gondoliere hielt ihn plötzlich auf	the gondolier suddenly stopped him	grupo	alternativoj	prononco
level	li diris	er sagte	he said	grupo	alternativoj	prononco
level	tiam iu homo pasis	Dann kam ein Mann vorbei	then a man passed by	grupo	alternativoj	prononco
level	iu homo pasis apud li	ein Mann ging an ihm vorbei	a man passed by him	grupo	alternativoj	prononco
level	li ankoraŭ ne estis tridekjara	er war noch keine dreißig	he was not yet thirty	grupo	alternativoj	prononco
level	kaj lia vizaĝo estis senkolora	und sein Gesicht war farblos	and his face was colorless	grupo	alternativoj	prononco
level	lia iro estis certa kaj facila	sein Weg war sicher und leicht	his going was sure and easy	grupo	alternativoj	prononco
level	lia vizaĝo estis malĝoja	sein Gesicht war traurig	his face was sad	grupo	alternativoj	prononco
level	kiam li ekvidis la homon, ~	als er den Mann sah, ~	when he saw the man, ~	grupo	alternativoj	prononco
level	oni diras, ke ~	es wird gesagt, dass ~	it is said that ~	grupo	alternativoj	prononco
level	multaj gravuloj donas ~	viele wichtige Leute geben ~	many important people give ~	grupo	alternativoj	prononco
level	sekreta laboro	geheime Arbeit	secret work	grupo	alternativoj	prononco
level	sekretaj laboroj	geheime Jobs	secret jobs	grupo	alternativoj	prononco
level	donas sekretajn laborojn al li	gibt ihm geheime Jobs	gives secret jobs to him	grupo	alternativoj	prononco
level	tro da sekretoj	zu viele Geheimnisse	too many secrets	grupo	alternativoj	prononco
level	li scias tro da sekretoj	er kennt zu viele Geheimnisse	he knows too many secrets	grupo	alternativoj	prononco
level	tial ili timas	deshalb haben sie Angst	therefore they are afraid	grupo	alternativoj	prononco
level	sendi lin en malliberejon	ihn ins Gefängnis zu schicken	to send him to prison	grupo	alternativoj	prononco
level	diris la maristo	sagte der Seemann	said the sailor	grupo	alternativoj	prononco
level	kaj dum li parolis	und wie er sprach	and as he spoke	grupo	alternativoj	prononco
level	li montris la domegon	Er zeigte auf die Villa	he pointed to the mansion	grupo	alternativoj	prononco
level	la domego de Doĝoj	das Herrenhaus des Dogen	the mansion of Doges	grupo	alternativoj	prononco
level	multaj gravuloj bezonas lian helpon	Viele wichtige Menschen brauchen seine Hilfe	many important people need his help	grupo	alternativoj	prononco
level	kiom ili pagas?	Wie viel zahlen sie?	how much they pay?	grupo	alternativoj	prononco
level	pagas al li	bezahlt ihn	pays him	grupo	alternativoj	prononco
level	pagas por unu mortigo	zahlt für einen Kill	pays for one kill	grupo	alternativoj	prononco
level	certe ne malpli ol ~	sicherlich nicht weniger als ~	certainly not less than ~	grupo	alternativoj	prononco
level	ol cent moneroj	als hundert Münzen	than a hundred coins	grupo	alternativoj	prononco
level	ne forgesu, ke ~	vergiss das nicht ~	don't forget that ~	grupo	alternativoj	prononco
level	ke li laboras por tiuj	dass er für sie arbeitet	that he works for them	grupo	alternativoj	prononco
level	por tiuj, kiuj havas sufiĉe da mono	für diejenigen, die genug Geld haben	for those who have enough money	grupo	alternativoj	prononco
level	por pagi al li	ihn zu bezahlen	to pay him	grupo	alternativoj	prononco
level	en Venecio estas ~	in Venedig gibt es ~	in Venice there is ~	grupo	alternativoj	prononco
level	tiuj aferoj	diese Sachen	those things	grupo	alternativoj	prononco
level	forgesi tiujn aferojn	diese Dinge zu vergessen	to forget those things	grupo	alternativoj	prononco
level	aferoj, kiujn estas pli bone forgesi	Dinge, die besser vergessen werden	things that are better forgotten	grupo	alternativoj	prononco
level	se vi volas trankvile manĝi	wenn Sie in Ruhe essen möchten	if you want to eat in peace	grupo	alternativoj	prononco
level	trankvile manĝi vian panon	um in Ruhe dein Brot zu essen	to eat your bread in peace	grupo	alternativoj	prononco
level	estis iom da silento	es herrschte etwas Stille	there was some silence	grupo	alternativoj	prononco
level	kaj poste	und später	and later	grupo	alternativoj	prononco
level	la gondolisto denove ekparolis	Der Gondoliere sprach erneut	the gondolier spoke again	grupo	alternativoj	prononco
level	vi venis ĝustatempe	Du bist gerade rechtzeitig gekommen	you came just in time	grupo	alternativoj	prononco
level	por vidi ŝipkuron	um ein Bootsrennen zu sehen	to see a boat race	grupo	alternativoj	prononco
level	iu diris malforte	sagte jemand schwach	someone said weakly	grupo	alternativoj	prononco
level	proksime de la gondolisto	in der Nähe des Gondolieres	near the gondolier	grupo	alternativoj	prononco
level	la estro de la urbo	der Bürgermeister der Stadt	the mayor of the city	grupo	alternativoj	prononco
level	senvorte montris al la gondolo	zeigte wortlos auf die Gondel	wordlessly pointed to the gondola	grupo	alternativoj	prononco
level	diris la gondolisto	sagte der Gondoliere	said the gondolier	grupo	alternativoj	prononco
level	kaj prenis la manon de sia amiko	und nahm die Hand seines Freundes	and took his friend's hand	grupo	alternativoj	prononco
level	ĵetas la paperon	wirft das Papier	throws the paper	grupo	alternativoj	prononco
level	en la paperujon	in den Papierkorb	into the paper bin	grupo	alternativoj	prononco
level	la knabinoj ĵetis la paperojn	Die Mädchen warfen die Papiere	the girls threw the papers	grupo	alternativoj	prononco
level	kie estas mia skribilo?	Wo ist mein Stift	where is my pen	grupo	alternativoj	prononco
level	mi volas respondi al li	Ich möchte ihm antworten	I want to answer him	grupo	alternativoj	prononco
level	la suno malaperis	Die Sonne verschwand	the sun disappeared	grupo	alternativoj	prononco
level	kaj nun estas preskaŭ malhele	und jetzt ist es fast dunkel	and now it is almost dark	grupo	alternativoj	prononco
level	bonvolu manĝi	bitte iss	please eat	grupo	alternativoj	prononco
level	bonvolu manĝi la panon	Bitte iss das Brot	please eat the bread	grupo	alternativoj	prononco
level	per manĝiloj	mit Besteck	with cutlery	grupo	alternativoj	prononco
level	pardonu min	Verzeihung	excuse me	grupo	alternativoj	prononco
level	rajtas resti	darf bleiben	is allowed to stay	grupo	alternativoj	prononco
level	mi ne rajtas resti	Ich habe kein Recht zu bleiben	I have no right to stay	grupo	alternativoj	prononco
level	ĉu vi povas kunporti ~ ?	Kannst du ~ mitbringen?	can you bring ~ ?	grupo	alternativoj	prononco
level	de mia fratino	von meiner Schwester	from my sister	grupo	alternativoj	prononco
level	kiam vi aĉetis ~ ?	Wann hast du ~ gekauft?	when did you buy ~ ?	grupo	alternativoj	prononco
level	aĉetis tiun muzikilon	habe das Musikinstrument gekauft	bought that musical instrument	grupo	alternativoj	prononco
level	kiu laste uzis ?	Wer hat es zuletzt verwendet?	who used last?	grupo	alternativoj	prononco
