eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn	mn	th	ms	id	hi	fa	ne	ur	tr	he	ar	de	es	it	pt	ru	pl
nuncio	a nuncio (an ecclesiastical diplomat)	교황 사절, 교황 특파 대사	un nonce (un diplomate ecclésiastique)	教皇使節、教皇特派大使	大使（教会外交官）	大使（教會外交官）	một sứ thần (một nhà ngoại giao giáo hội)	nuncio (сүмийн дипломатч)	เอกอัครราชทูต (นักการทูตสงฆ์)	seorang nuncio (seorang diplomat gerejawi)	seorang nuncio (seorang diplomat gerejawi)	एक नुनसियो (एक चर्च राजनयिक)	نونسیو (یک دیپلمات کلیسایی)	एक nuncio (एक चर्चीय कूटनीतिज्ञ)	ایک نونسیو (ایک کلیسیائی سفارت کار)	bir nuncio (dini diplomat)	נונציו (דיפלומט כנסייתי)	nuncio (دبلوماسي كنسي)	ein Nuntius (ein kirchlicher Diplomat)	un nuncio (un diplomático eclesiástico)	un nunzio (un diplomatico ecclesiastico)	um núncio (um diplomata eclesiástico)	нунций (церковный дипломат)	nuncjusz (kościelny dyplomata)
humo	humus	부식토(腐植土, humus), 부식질	humus	腐食土（腐植土、humus）、腐食質	腐殖质	腐植質	mùn	ялзмаг	ฮิวมัส	humus	humus	धरण	هوموس	humus	humus	humus	חומוס	الدبال	Humus	humus	humus	húmus	перегной	humus
rismo	ream (500 sheets of paper)	(신문지, 종이) 연(連) (500매)	rame (500 feuilles de papier)	（新聞紙、紙）連（連）（500枚）	令（500 张纸）	令（500 張紙）	ram (500 tờ giấy)	мод (500 хуудас цаас)	รีม (กระดาษ 500 แผ่น)	rim (500 helai kertas)	rim (500 lembar kertas)	रीम (कागज की 500 शीट)	ریم (500 برگ کاغذ)	ream (कागजको 500 पाना)	ریم (کاغذ کی 500 شیٹس)	top (500 sayfa kağıt)	ריאם (500 גיליונות נייר)	رزمة (500 ورقة)	Ries (500 Blatt Papier)	resma (500 hojas de papel)	risma (500 fogli di carta)	resma (500 folhas de papel)	пачка (500 листов бумаги)	ryza (500 arkuszy papieru)
rojalisto	a royalist	왕당주의자, 충군주의자, 충신	un royaliste	王党主義者、忠軍主義者、忠臣	保皇党	保皇黨	một người theo chủ nghĩa bảo hoàng	хааны шашинтан	กษัตริย์	seorang diraja	seorang royalis	एक राजभक्त	یک سلطنت طلب	एक शाहीवादी	ایک شاہی	kralcı	מלוכה	ملكي	ein Royalist	un realista	un monarchico	um monarquista	роялист	rojalista
aplombo	aplomb, self-assurance	대단한 자신감, 태연자약	aplomb, confiance en soi	すごい自信、テヨン	沉着、自信	沉著、自信	tự tin, tự tin	өршөөл, өөртөө итгэлтэй байдал	ความมั่นใจในตนเอง	penuh keyakinan, keyakinan diri	percaya diri, percaya diri	आत्मविश्वास, आत्म-आश्वासन	سخاوتمندانه، اعتماد به نفس	आत्मबल, आत्मविश्वास	حوصلہ افزائی، خود اعتمادی	özgüven, kendine güven	אדישות, ביטחון עצמי	الثقة بالنفس والثقة بالنفس	Souveränität, Selbstsicherheit	aplomo, seguridad en uno mismo	aplomb, sicurezza di sé	autoconfiança, autoconfiança	апломб, уверенность в себе	opanowanie, pewność siebie
saldo	balance (account)	손익결산의 대차 (saldi 청산하다)	le solde du compte)	損益決済の貸借（サルディ清算）	余额（账户）	餘額（帳戶）	số dư (tài khoản)	үлдэгдэл (данс)	ยอดคงเหลือ (บัญชี)	baki (akaun)	saldo (akun)	बकाया खाता)	موجودی (حساب)	ब्यालेन्स (खाता)	بیلنس (اکاؤنٹ)	Denge hesabı)	יתרה (חשבון)	رصيد الحساب)	Bilanzkonto)	balance de cuenta)	saldo (conto)	saldo (conta)	баланс (счет)	saldo (konto)
parabolo	a parabola, a parable	포물선, 우화, 비유담	une parabole, une parabole	放物線、寓話、哀悼	抛物线，寓言	拋物線，寓言	một parabol, một dụ ngôn	парабол, сургаалт зүйрлэл	พาราโบลา, คำอุปมา	parabola, perumpamaan	sebuah parabola, sebuah perumpamaan	एक परवलय, एक दृष्टान्त	یک سهمی، یک تمثیل	एक parabola, एक दृष्टान्त	ایک پیرابولا، ایک تمثیل	bir parabol, bir benzetme	פרבולה, משל	القطع المكافئ، المثل	eine Parabel, ein Gleichnis	una parábola, una parábola	una parabola, una parabola	uma parábola, uma parábola	парабола, притча	parabola, przypowieść
satrapo	a satrap	(페르시아) 태수, 총독	un satrape	(ペルシャ)テス、総督	总督	總督	một phó vương	сатрап	สาธร	seorang satrap	seorang satrap	एक क्षत्रप	یک ساتراپ	एक क्षत्रप	ایک satrap	bir satrap	סטראפ	المرزبان	ein Satrap	un sátrapa	un satrapo	um sátrapa	сатрап	satrapa
laguno	a lagoon	산호섬 내의 호수, 바닷가 호수	un lagon	サンゴ島内の湖、ビーチ湖	泻湖	潟湖	một đầm phá	нуур	ทะเลสาบ	sebuah lagun	sebuah laguna	एक लैगून	یک مرداب	एउटा ताल	ایک جھیل	bir lagün	לגונה	بحيرة	eine Lagune	una laguna	una laguna	uma lagoa	лагуна	laguna
sinodo	a synod, a convocation	종교회의, 장로회의	un synode, une convocation	宗教会議、長老会議	一次会议，一次集会	一次會議，一次集會	một hội đồng, một cuộc triệu tập	синод, хурал	สังฆสภา, การประชุม	sinod, konvokesyen	sebuah sinode, sebuah pertemuan	एक धर्मसभा, एक दीक्षांत समारोह	یک مجمع، یک گردهمایی	एक सभा, एक दीक्षान्त	ایک مجلس، ایک کانووکیشن	bir sinod, bir toplantı	סינוד, כינוס	سينودس، دعوة	eine Synode, eine Einberufung	un sínodo, una convocatoria	un sinodo, una convocazione	um sínodo, uma convocação	синод, созыв	synod, zwołanie
kardinalo	a cardinal	추기경	un cardinal	枢機卿	红衣主教	樞機主教	một hồng y	кардинал	พระคาร์ดินัล	seorang kardinal	seorang kardinal	एक कार्डिनल	یک کاردینال	एक कार्डिनल	ایک کارڈنل	bir kardinal	קרדינל	كاردينال	ein Kardinal	un cardenal	un cardinale	um cardeal	кардинал	kardynał
sociologio	sociology	사회학	sociologie	社会学	社会学	社會學	xã hội học	социологи	สังคมวิทยา	sosiologi	sosiologi	समाज शास्त्र	جامعه شناسی	समाजशास्त्र	سوشیالوجی	sosyoloji	סוֹצִיוֹלוֹגִיָה	علم الاجتماع	Soziologie	sociología	sociologia	sociologia	социология	socjologia
sofisto	a sophist	궤변가, 억지이론가	un sophiste	軌道家、抑止理論家	智者	智者	một nhà ngụy biện	софист	เป็นคนพิถีพิถัน	seorang sofis	seorang sofis	एक सोफ़िस्ट	یک سوفسطایی	एक परिष्कृत	ایک نفیس	bir sofist	סופיסט	سفسطائي	ein Sophist	un sofista	un sofista	um sofista	софист	sofista
spiritisto	a shaman, a spiritualist	강신술자, 무당	un chaman, un spiritualiste	強神術者、てんとう	萨满，唯灵论者	薩滿，唯靈論者	một pháp sư, một nhà tâm linh	бөө, сүнс судлаач	หมอผีผู้เชื่อเรื่องผี	bomoh, ahli kerohanian	seorang dukun, seorang spiritualis	एक ओझा, एक अध्यात्मवादी	یک شمن، یک روحانی	एक शमन, एक अध्यात्मवादी	ایک شمن، ایک روحانیت پسند	bir şaman, bir maneviyatçı	שמאן, ספיריטואליסט	شامان، روحاني	ein Schamane, ein Spiritualist	un chamán, un espiritualista	uno sciamano, uno spiritista	um xamã, um espiritualista	шаман, спиритуалист	szaman, spirytysta
laiko	a layman, a non-professional	(성직자가 아닌) 속인, 상인, 아마튜어	un profane, un non professionnel	（聖職者ではない）属、商人、アマチュア	外行人，非专业人士	外行人，非專業人士	một người bình thường, một người không chuyên nghiệp	энгийн хүн, мэргэжлийн бус хүн	คนธรรมดาที่ไม่เป็นมืออาชีพ	orang awam, bukan profesional	orang awam, non-profesional	एक आम आदमी, एक गैर-पेशेवर	یک فرد غیرحرفه ای	एक आम मानिस, एक गैर-पेशेवर	ایک عام آدمی، ایک غیر پیشہ ور	meslekten olmayan, profesyonel olmayan	הדיוט, לא מקצוען	شخص عادي، غير محترف	ein Laie, ein Laie	un lego, un no profesional	un laico, un non professionista	um leigo, um não profissional	дилетант, непрофессионал	laik, nieprofesjonalista
sutano	a soutane, a cassock	검은 사제복 (카톨릭, 그리스교, 영국국교, 수탄)	une soutane, une soutane	黒い司祭服（カトリック、ギリシャ、イギリス国交、グレネード）	袈裟，袈裟	袈裟，袈裟	một người soutane, một chiếc áo cà sa	сутан, кассок	ซูเทน, คาสซอค	soutane, jubah	soutane, jubah	एक सौटेन, एक कसाक	یک سوتن، یک قیف	a soutane, a cassock	ایک سوٹین، ایک cassock	bir soutan, bir cüppe	סוטן, כוס	سوتان، كاهن	eine Soutane, eine Soutane	una sotana, una sotana	una tonaca, una tonaca	uma batina, uma batina	сутана, ряса	sutanna, sutanna
anakronismo	anachronism	시대착오	anachronisme	時代錯誤	不合时宜	不合時宜	lỗi thời	анахронизм	สมัย	anakronisme	anakhronisme	कालभ्रम	نابهنگامی	anachronism	anachronism	anakronizm	אנכרוניזם	مفارقة تاريخية	Anachronismus	anacronismo	anacronismo	anacronismo	анахронизм	anachronizm
tonsuro	tonsure	카톨릭식 원형 삭발	tonsure	カトリック式円形切削	剃度	剃度	đau đầu	tonsure	ผนวช	tonsure	amandel	मुंडन	تونسور	टन्सर	ٹانسور	başın tepesini traş etmek	טונס	نغمة	Tonsur	tonsura	tonsura	tonsura	тонзура	tonsura
transito	a transit	면세통과, 무세통과	un transit	免税通課、無税通課	过境	過境	quá cảnh	дамжин өнгөрөх	การขนส่งสาธารณะ	transit	transit	एक पारगमन	یک ترانزیت	एक ट्रान्जिट	ایک ٹرانزٹ	bir transit	מעבר	عبور	ein Transit	un tránsito	un transito	um trânsito	транзит	tranzyt
ovacio	an ovation	대환영, 열렬한 환호	une ovation	大歓迎、熱心な歓声	热烈鼓掌	熱烈鼓掌	sự hoan nghênh	алга ташилт	การปรบมือ	tepukan gemuruh	tepuk tangan meriah	एक जयजयकार	یک تشویق	एक अभिनन्दन	ایک داد	alkış	תשואות	بحفاوة بالغة	eine Ovation	una ovación	un'ovazione	uma ovação	овация	owacja
romanco	a romance (song), a romantic song	로맨스, 낭만곡	une romance (chanson), une chanson romantique	ロマンス、ロマン曲	浪漫（歌曲），一首浪漫的歌曲	浪漫（歌曲），一首浪漫的歌曲	một bài hát lãng mạn, một bài hát lãng mạn	романс (дуу), романтик дуу	โรแมนติก (เพลง) เพลงโรแมนติก	sebuah percintaan (lagu), sebuah lagu yang romantis	roman (lagu), lagu romantis	एक रोमांस (गीत), एक रोमांटिक गाना	یک عاشقانه (آهنگ)، یک آهنگ عاشقانه	एक रोमान्स (गीत), एक रोमान्टिक गीत	ایک رومانوی (گیت)، ایک رومانوی گانا	romantik bir şarkı (şarkı), romantik bir şarkı	רומנטיקה (שיר), שיר רומנטי	أغنية رومانسية (أغنية)، أغنية رومانسية	eine Romanze (Lied), ein romantisches Lied	un romance (canción), una canción romántica	una storia d'amore (canzone), una canzone romantica	um romance (música), uma canção romântica	романс (песня), романтическая песня	romans (piosenka), romantyczna piosenka
prioro	a prior (ecclesiastical title)	소수도원장(小修道院長)	un prieur (titre ecclésiastique)	小修道院長	先前的（教会头衔）	先前的（教會頭銜）	một tiền nhiệm (tiêu đề giáo hội)	өмнөх (сүмийн цол)	ก่อนหน้า (ชื่อสงฆ์)	yang terdahulu (gelaran gerejawi)	sebelumnya (gelar gerejawi)	एक पूर्व (उपशास्त्रीय शीर्षक)	پیشین (عنوان کلیسایی)	एक पूर्व (पात्रिक शीर्षक)	ایک سابقہ (کلیسیائی عنوان)	bir önceki (dini unvan)	a prior (תואר כנסייתי)	سابق (عنوان كنسي)	a prior (kirchlicher Titel)	un prior (título eclesiástico)	un priore (titolo ecclesiastico)	um prior (título eclesiástico)	априор (церковный титул)	a prior (tytuł kościelny)
prototipo	a prototype	프로토타입, 원형, 표준	un prototype	プロトタイプ、円形、標準	原型	原型	một nguyên mẫu	прототип	ต้นแบบ	sebuah prototaip	sebuah prototipe	एक प्रोटोटाइप	یک نمونه اولیه	एक प्रोटोटाइप	ایک پروٹوٹائپ	bir prototip	אב טיפוס	نموذج أولي	ein Prototyp	un prototipo	un prototipo	um protótipo	прототип	prototyp
dalio	a dahlia	달리아 (Dahlia), 다알리아, 양국	un dahlia	ダリア (Dahlia), ダアリア, 両国	大丽花	大麗花	một cây thược dược	мандарваа	ดอกรักเร่	seekor dahlia	dahlia	एक डाहलिया	یک کوکب	एक डाहलिया	ایک ڈاہلیا	bir yıldız çiçeği	דליה	الداليا	eine Dahlie	una dalia	una dalia	uma dália	георгин	dalia
anagramo	an anagram	철자바꾸기, 철자 재배열 놀이	une anagramme	綴りを変える、綴りの再配置演劇	字谜	字謎	một đảo chữ	анаграм	แอนนาแกรม	satu anagram	sebuah anagram	एक विपर्यय	یک آنگرام	एनाग्राम	ایک انگرام	bir anagram	אנגרם	الجناس الناقص	ein Anagramm	un anagrama	un anagramma	um anagrama	анаграмма	anagram
anapesto	anapest, anaepest	단단장(약약강) 3음절 격	anapeste, anépeste	団団長（薬薬講）3音節格	阿纳佩斯, 阿纳佩斯	阿納佩斯, 阿納佩斯	anapest, anapest	анапест, анапест	อานาเปสต์, อานาเพสต์	anapes, anaepest	anapest, anapest	अनापेस्ट, अनापेस्ट	آناپست، آناپست	anaepest, anaepest	anapest، anaepest	anapest, anapest	אנאפסט, אנאפסט	أنابيست، أنابيست	anapest, anaepest	anapest, anaepest	anapesto, anapesto	anapesto, anapesto	анапест, анапест	anapest, anapest
antitezo	an antithesis	대조법, 대조인물	une antithèse	対照法、対照人物	对立	對立	một phản đề	эсрэг үзэл	สิ่งที่ตรงกันข้าม	suatu antitesis	sebuah antitesis	एक प्रतिपक्षी	یک آنتی تز	एक विरोधी	ایک مخالف	bir antitez	אנטיתזה	نقيض	eine Antithese	una antítesis	un'antitesi	uma antítese	антитеза	antyteza
friso	a frieze	(건축) 띠모양 양각 장식, 띠모양 양각장식 사진틀	une frise	（建築）帯状エンボス装飾、帯状エンボス式写真フレーム	饰带	飾帶	một bức phù điêu	фриз	ผ้าสักหลาด	beku	sebuah dekorasi	एक फ्रिज़	یک فریز	एक फ्रिज	ایک فریز	bir friz	אפריז	إفريز	ein Fries	un friso	un fregio	um friso	фриз	fryz
apozicio	an apposition	동격, 같은 격의 말을 덧붙여 쓰는 것	une candidature	同格、同じ格の言葉を付け加える	同位语	同位語	một lời đề nghị	томилолт	การแต่งตั้ง	aposisi	sebuah aposisi	एक निवेदन	یک پیشنهاد	एक नियुक्ति	ایک تقرری	bir başvuru	הסכמה	معارضة	eine Apposition	una aposición	un'apposizione	uma aposição	приложение	przyłożenie
asonanco	an assonance	모음운(母音韻)	une assonance	母音韻	和谐	和諧	một sự đồng âm	ассонанс	ความตื่นตระหนก	suatu asonansi	sebuah asonansi	एक संगति	یک همآهنگی	एक तालमेल	ایک ہم آہنگی	bir asonans	אסוננס	السجع	eine Assonanz	una asonancia	un'assonanza	uma assonância	ассонанс	asonans
aŭtografo	an autograph	친필, 자필, 자필 원고	un autographe	直筆、手書き、手書き原稿	亲笔签名	親筆簽名	một chữ ký	гарын үсэг	ลายเซ็น	autograf	sebuah tanda tangan	एक हस्ताक्षर	یک خودکار	एक अटोग्राफ	ایک آٹوگراف	bir imza	חתימה	توقيع	ein Autogramm	un autógrafo	un autografo	um autógrafo	автограф	autograf
akcesora	accessory, collateral, secondary	보조적인, 부속물의	accessoire, collatéral, secondaire	補助的な、付属品	附属品，附属物，次要的	附屬品，附屬物，次要的	phụ kiện, tài sản thế chấp, thứ cấp	нэмэлт, барьцаа, хоёрдогч	อุปกรณ์เสริมหลักประกันรอง	aksesori, cagaran, sekunder	aksesori, jaminan, sekunder	सहायक, संपार्श्विक, गौण	لوازم جانبی، وثیقه، فرعی	सहायक, संपार्श्विक, माध्यमिक	آلات، ضمنی، ثانوی	aksesuar, teminat, ikincil	אביזר, בטחונות, משני	ملحق، ضمانات، ثانوي	Zubehör, Sicherheit, sekundär	accesorio, colateral, secundario	accessorio, collaterale, secondario	acessório, colateral, secundário	аксессуар, залог, вторичный	akcesorium, zabezpieczenie, wtórne
centigramo	a centigram	센티그램 (100분의 1그램)	un centigramme	センチグラム（100分の1グラム）	一厘克	一厘克	một centigram	сантиметр	เซนติกรัม	satu sentimeter	satu sentimeter	एक सेंटीग्राम	یک سانتی گرم	एक सेन्टिग्राम	ایک سینٹی گرام	bir santimetre	סנטיגרם	سنتيجرام	ein Zentigramm	un centigramo	un centigrammo	um centigrama	сантиграмм	centygram
centilitro	a centilitre	센티리터 (100분의 1리터)	un centilitre	センチリットル（100分の1リットル）	一厘升	一厘升	một centimet	центилитр	เซนติลิตร	satu sentimeter	satu sentimeter	एक सेंटिलिटर	یک سانتی متر	एक सेन्टिलिटर	ایک سینٹی لیٹر	bir santilitre	סנטיליטר	سنتيمتر	ein Zentiliter	un centilitro	un centilitro	um centilitro	сантилитр	centylitr
cirkumflekso	a circumflex (accent)	삿갓 모양의 액센트 기호	un circonflexe (accent)	サッカド形のアクセント記号	抑扬音（重音）	抑揚音（重音）	dấu mũ (giọng)	циркумфлекс (өргөлт)	วงเวียน (สำเนียง)	circumflex (aksen)	sirkumfleks (aksen)	एक सर्कमफ्लेक्स (उच्चारण)	حاشیه (لهجه)	एक सर्कमफ्लेक्स (उच्चारण)	ایک سرمفلیکس (لہجہ)	inceltme işareti (vurgu)	circumflex (מבטא)	منعطف (لهجة)	ein Zirkumflex (Akzent)	un circunflejo (acento)	un accento circonflesso (accento)	um circunflexo (acento)	циркумфлекс (ударение)	daszek (akcent)
decigramo	a decigram	데시그램 (10분의 1그램)	un décigramme	デシグラム（10分の1グラム）	一十分克	一十分克	một decigram	дециграмм	เดซิกรัม	desigram	sebuah desigram	एक डेसीग्राम	یک دسی گرم	एक डेसिग्राम	ایک ڈیسیگرام	bir desigram	דציגרם	ديسيجرام	ein Dezigramm	un decigramo	un decigrammo	um decigrama	дециграмм	decygram
lucerno	a hanging lamp in a church	교회 괘등, 램프	une lampe suspendue dans une église	教会の燭台、ランプ	教堂里的一盏吊灯	教堂裡的一盞吊燈	một ngọn đèn treo trong nhà thờ	сүм дэх өлгөөтэй чийдэн	โคมไฟแขวนอยู่ในโบสถ์	lampu gantung di gereja	lampu gantung di gereja	एक चर्च में लटका हुआ दीपक	چراغ آویزان در کلیسا	एउटा चर्चमा झुण्डिएको बत्ती	ایک چرچ میں لٹکا ہوا چراغ	bir kilisede asılı bir lamba	מנורה תלויה בכנסייה	مصباح معلق في الكنيسة	eine Hängelampe in einer Kirche	una lámpara colgante en una iglesia	una lampada a sospensione in una chiesa	uma lâmpada pendurada em uma igreja	подвесная лампа в церкви	wisząca lampa w kościele
decilitro	a deciliter	데시리터 (10분의 1리터)	un décilitre	デシリットル（10分の1リットル）	一分升	一分升	một deciliter	декалитр	เดซิลิตร	satu desiliter	satu desiliter	एक डेसीलीटर	یک دسی لیتر	एक डेसिलिटर	ایک deciliter	bir desilitre	דציליטר	ديسيلتر	ein Deziliter	un decilitro	un decilitro	um decilitro	децилитр	decylitr
decimala	decimal	십진법의, 10진 소수의, 10진 분수의	décimal	10進法の、10進少数の、10進小数の	小数	小數	số thập phân	аравтын	ทศนิยม	perpuluhan	desimal	दशमलव	اعشاری	दशमलव	اعشاریہ	ondalık	נקודה	عدد عشري	Dezimal	decimal	decimale	decimal	десятичная дробь	dziesiętny
decimetro	a decimeter	데시미터 (10분의 1미터)	un décimètre	デシメータ（10分の1メートル）	一分米	一分米	một centimet	дециметр	เดซิเมตร	satu desimeter	satu desimeter	एक डेसीमीटर	یک دسی متر	एक डेसिमिटर	ایک ڈیسی میٹر	bir desimetre	דצימטר	ديسيمتر	ein Dezimeter	un decímetro	un decimetro	um decímetro	дециметр	decymetr
dekagramo	a decagram	데카그램 (10그램)	un décagramme	デカグラム（10グラム）	十克	十克	một decagram	декаграм	เดคาแกรม	dekagram	sebuah dekagram	एक डेकाग्राम	یک دکاگرام	एक डेकाग्राम	ایک ڈیکاگرام	bir dekagram	דקגרם	ديكاجرام	ein Dekagramm	un decagramo	un decagramma	um decagrama	декаграмма	dekagram
fenikso	a phoenix	피닉스, 불사조	un phénix	フェニックス、不死鳥	一只凤凰	一隻鳳凰	một con phượng hoàng	галт шувуу	ฟีนิกซ์	burung phoenix	seekor burung phoenix	एक फीनिक्स	یک ققنوس	एक फिनिक्स	ایک فینکس	bir anka kuşu	עוף החול	طائر الفينيق	ein Phönix	un fénix	una fenice	uma fênix	феникс	feniks
dekalitro	a decalitre	데카리터 (10리터)	un décalitre	デカリットル（10リットル）	一十升	一十公升	một decalitre	декалитр	รูปลอก	dekaliter	sebuah dekaliter	एक डेसीलीटर	یک دکالیتر	एक decalitre	ایک decalitre	bir dekalitre	דקליטר	ديكالتر	ein Dekaliter	un decalitro	un decalitro	um decalitro	декалитр	dekalit
dekametro	a decametre	데카미터 (10미터)	un décamètre	デカメーター（10メートル）	一十米	一十米	một thập phân	декаметр	เดคาเมตร	dekameter	satu dekade	एक डेसीमीटर	یک ده متر	एक डेकामिटर	ایک ڈیکیمیٹر	bir dekametre	דקמטר	ديكامتر	ein Dekameter	un decametro	un decametro	um decâmetro	декаметр	dekametr
demonstrativo	demonstrative	지시사 (이, 저, 그, 어느)	démonstratif	指示者（これ、私、彼、どちら）	指示性的	指示性的	Biểu tình	харуулах шинж чанартай	สาธิต	demonstratif	demonstratif	ठोस	نمایشی	प्रदर्शनात्मक	نمائشی	açıklayıcı	הַפגָנָתִי	إيضاحي	demonstrativ	demostrativo	dimostrativo	demonstrativo	демонстративный	wskazujący
bronko	a bronchial tube	기관지	une bronche	気管支	支气管	支氣管	một ống phế quản	гуурсан хоолой	หลอดลม	tiub bronkial	sebuah tabung bronkial	एक ब्रोन्कियल ट्यूब	یک لوله برونش	ब्रोन्कियल ट्यूब	ایک bronchial ٹیوب	bronşiyal tüp	צינור הסימפונות	أنبوب الشعب الهوائية	ein Bronchialrohr	un tubo bronquial	un tubo bronchiale	um tubo brônquico	бронх	oskrzela
drakmo	a drachma	(그리스) 은화, 화폐, 무게의 단위	une drachme	(ギリシャ) 銀貨、通貨、重量の単位	德拉克马	德拉克馬	một drachma	драхма	ดรัชมา	sebuah drachma	satu drachma	एक ड्रामा	یک درهم	एक ड्राक्मा	ایک ڈراچما	bir drahmi	דרכמה	الدراخما	eine Drachme	un dracma	una dracma	um dracma	драхма	drachma
patricio	a patrician	(로마) 귀족계급	un patricien	（ローマ）貴族階級	贵族	貴族	một người quý tộc	патрициан	ขุนนาง	seorang patrician	seorang bangsawan	एक संरक्षक	یک پدرشناس	एक patrician	ایک محب وطن	bir asilzade	פטריצית	أرستقراطي	ein Patrizier	un patricio	un patrizio	um patrício	патриций	patrycjusz
dualismo	a dualism	이중성, 이원론, 행정이원론	un dualisme	二重性、二元論、行政二元論	二元论	二元論	thuyết nhị nguyên	хоёрдмол үзэл	ความเป็นทวินิยม	dualisme	sebuah dualisme	एक द्वैतवाद	یک دوگانگی	एक द्वैधवाद	ایک دوہری ازم	bir dualizm	דואליזם	ثنائية	ein Dualismus	un dualismo	un dualismo	um dualismo	дуализм	dualizm
lato	a lath	각목, 창살목, 세공용 조각나무	une latte	脚木、菩提樹、細工用の彫刻の木	板条	板條	một cái tiện	тавиур	ไม้ระแนง	sebatang	sebuah mesin bubut	एक लट्ठा	یک تراش	एक लाठी	ایک لٹھ	bir çıta	סד	لوح	eine Latte	un listón	un listello	uma ripa	рейка	listwa
prostitui	to prostitute	(창녀) 매음하다, 매춘하다	se prostituer	（売春婦）魅了、売春	卖淫	賣淫	làm gái mại dâm	биеэ үнэлүүлэх	โสเภณี	melacur	untuk menjadi pelacur	वेश्यावृत्ति करना	به تن فروشی	वेश्यालाई	طوائف کو	fahişelik yapmak	לזנות	إلى عاهرة	prostituieren	prostituirse	prostituirsi	prostituir-se	заниматься проституцией	prostytuować się
etimologio	etymology	어원학, 어원	étymologie	語源学、語源	词源	字源	từ nguyên	этимологи	นิรุกติศาสตร์	etimologi	etimologi	शब्द-साधन	علم اشتقاق لغات	व्युत्पत्ति	etymology	etimoloji	אֶטִימוֹלוֹגִיָה	علم أصول الكلمات	Etymologie	etimología	etimologia	etimologia	этимология	etymologia
floreno	florin, floren	플로린 은화 (영국, 네덜란드, 남독일)	florin, floren	フロリン銀貨（イギリス、オランダ、南ドイツ）	弗洛林, 弗洛伦	弗洛林, 弗洛倫	Florin, Floren	флорин, флорен	ฟลอริน, ฟลอเรน	florin, floren	Florin, Florence	फ्लोरिन, फ्लोरिन	فلورین، فلورن	फ्लोरिन, फ्लोरेन	فلورین، فلورین	florin, floren	פלורין, פלורן	فلورين، فلورين	Florin, Floren	florín, floren	fiorino, fiorino	florim, floren	флорин, флорен	floren, floren
spondeo	spondee	양양격, 장장격 (강세음이 두개 겹치는 것)	spondée	揚陽撃、長長格	斯彭迪	斯彭迪	người trả lời	spondee	สปอนดี	spondee	spondee	स्पोंडी	اسپوندی	स्पन्डी	سپنڈی	sünger	ספונדי	السبوندية تفعيلة ذات مقطعين	Spondeus	espondeo	spondeo	espondeu	спондей	spondej
heksametro	a hexameter	헥사미터, 육보격, 육보운율, 육음보	un hexamètre	ヘキサメーター, 六歩格, 六歩運賃, 六音梁	六音步	六音步	một hexameter	гексаметр	เฮกซาเมตร	heksameter	sebuah heksameter	एक हेक्सामीटर	یک هگزامتر	एक हेक्सामीटर	ایک ہیکسا میٹر	bir altıgen	הקסמטר	مقياس سداسي	ein Hexameter	un hexámetro	un esametro	um hexâmetro	гекзаметр	heksametr
hektogramo	a hectogram	헥토그램 (100그램)	un hectogramme	ヘクトグラム（100グラム）	一百克	一百克	một hectogram	гектограмм	เฮกโตแกรม	satu hektogram	satu hektogram	एक हेक्टोग्राम	یک هکتوگرام	एक हेक्टोग्राम	ایک ہیکٹوگرام	bir hektogram	הקטוגרמה	هيكتوجرام	ein Hektogramm	un hectogramo	un ettogrammo	um hectograma	гектограмм	hektogram
hektolitro	a hectolitre	헥토리터 (100리터)	un hectolitre	ヘクトリットル（100リットル）	一百升	一百公升	một ha lít	гектолитр	เฮกโตลิตร	satu hektoliter	satu hektoliter	एक हेक्टोलीटर	یک هکتولیتر	एक हेक्टोलिटर	ایک ہیکٹولیٹر	bir hektolitre	הקטוליטר	هكتولتر	ein Hektoliter	un hectolitro	un ettolitro	um hectolitro	гектолитр	hektolitr
hektometro	a hectometre	헥토미터 (100미터)	un hectomètre	ヘクトメートル（100メートル）	一百米	一百米	một hecta	гектометр	เฮกโตเมตร	sehektometer	satu hektar	एक हेक्टोमीटर	یک هکتومتر	एक हेक्टोमिटर	ایک ہیکٹو میٹر	hektometre	הקטמטר	هكتومتر	ein Hektometer	un hectómetro	un ettometro	um hectômetro	гектометр	hektometr
imperfekto	imperfect	미완료형 시제, 반과거 시제, 불완료 과거 시제	imparfait	未完成時制、半過去時制、不完全過去時制	不完善	不完善	không hoàn hảo	төгс бус	ไม่สมบูรณ์	tidak sempurna	tidak sempurna	अपूणर्	ناقص	अपूर्ण	نامکمل	kusurlu	לֹא מוּשׁלָם	غير تام	unvollkommen	imperfecto	imperfetto	imperfeita	несовершенный	niedoskonały
indikativo	indicative	직설법 (-is, -as, -os) (가정법이 아닌)	indicatif	直説法（-is、-as、-os）（家庭法ではない）	指示性的	指示性的	biểu thị	заалт	บ่งชี้	indikatif	indikatif	सूचक	نشان دهنده	सूचक	اشارے	gösterge niteliğinde	מְעִיד עַל	إرشادية	indikativ	indicativo	indicativo	indicativo	ориентировочный	orientacyjny
