eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn	mn	th	ms	id	hi	fa	ne	ur	tr	he	ar	de	es	it	pt	ru	pl	km	my	bn	ta	pa	mr	te	uk	sv	sw	nl	no	da	lv	ro	lt	bg	sk	sl	et	cs	fi	hu	el
mi sentas ke ~	I feel that ~	나는 ~라고 느낀다	Je sens que ~	私は〜と感じる	我觉得~	我是這麼感覺的~	Tôi cảm thấy điều đó ~	Би үүнийг мэдэрч байна ~	ฉันรู้สึกแบบนั้น~	Saya merasakan bahawa ~	Saya merasakan itu ~	मुझे ऐसा लगता है~	من احساس می کنم که ~	मलाई लाग्छ ~	میں محسوس کرتا ہوں کہ ~	bunu hissediyorum ~	אני מרגיש ש~	أشعر أن ~	Ich fühle das ~	Siento eso ~	Lo sento ~	Eu sinto isso ~	Я чувствую это ~	Czuję to ~	ខ្ញុំមានអារម្មណ៍ថា ~	ခံစားရတယ်~	আমি এটা অনুভব করি ~	நான் உணர்கிறேன் ~	ਮੈਨੂੰ ਲੱਗਦਾ ਹੈ ਕਿ ~	मला असे वाटते ~	అని నేను భావిస్తున్నాను ~	Я відчуваю, що ~	Jag känner att ~	Ninahisi hivyo ~	Ik voel dat ~	Jeg føler at ~	Jeg føler, at ~	Es jūtu, ka ~	Simt că ~	Jaučiu, kad ~	Чувствам, че ~	Mám pocit, že ~	Čutim, da ~	Ma tunnen, et ~	Mám pocit, že ~	Minusta tuntuu, että ~	Úgy érzem, hogy ~	νιώθω ότι ~
sentas ke estas tro da ~	feels like there are too many ~	~가 너무 많다고 느낀다	je sens qu'il y a trop de ~	~が多すぎると感じる	觉得太多了~	感覺太多了~	cảm giác như có quá nhiều ~	хэтэрхий олон юм шиг санагдаж байна ~	รู้สึกเหมือนมีมากเกินไป ~	terasa seperti terlalu banyak ~	rasanya terlalu banyak ~	ऐसा महसूस होता है जैसे बहुत सारे हैं~	به نظر می رسد که تعداد ~ بسیار زیاد است	धेरै छन् जस्तो लाग्छ ~	ایسا لگتا ہے جیسے بہت زیادہ ہیں ~	çok fazla varmış gibi geliyor ~	מרגיש שיש יותר מדי ~	يبدو أن هناك الكثير ~	Es fühlt sich an, als wären es zu viele ~	Se siente como si hubiera demasiados ~	sembra che ce ne siano troppi ~	parece que há muitos ~	такое ощущение, что их слишком много ~	wydaje mi się, że jest ich za dużo ~	មានអារម្មណ៍ថាមានច្រើនពេក ~	များလွန်းတယ်လို့ ခံစားရတယ်။	মনে হচ্ছে অনেক বেশি ~	அதிகமாக இருப்பது போல் உணர்கிறேன் ~	ਇੰਝ ਲੱਗਦਾ ਹੈ ਕਿ ਬਹੁਤ ਸਾਰੇ ਹਨ ~	खूप आहेत असे वाटते ~	చాలా ఎక్కువ ఉన్నట్లు అనిపిస్తుంది ~	відчувається, що їх забагато ~	känns som att det finns för många ~	feels like there are too many ~	het voelt alsof er te veel zijn ~	føles som det er for mange ~	føles som om der er for mange ~	šķiet, ka ir pārāk daudz ~	simte că sunt prea multe ~	atrodo, kad yra per daug ~	има чувството, че има твърде много ~	zdá sa mi, že je ich priveľa ~	zdi se, da jih je preveč ~	tundub, et ~ on liiga palju	zdá se mi, že je jich příliš ~	tuntuu, että ~ on liikaa	úgy érzi, túl sok a ~	αισθάνεται ότι υπάρχουν πάρα πολλά ~
tro da Esperanto en mia vivo	too much Esperanto in my life	내 삶에 에스페란토가 너무 많은	trop d'espéranto dans ma vie	私の人生の多すぎるエスペラント	我的生活中世界语太多	我的生活中有太多世界語	quá nhiều Esperanto trong đời tôi	миний амьдралд хэт их эсперанто хэл	ภาษาเอสเปรันโตมากเกินไปในชีวิตของฉัน	terlalu banyak bahasa Esperanto dalam hidup saya	terlalu banyak bahasa Esperanto dalam hidupku	मेरे जीवन में बहुत अधिक एस्पेरान्तो है	در زندگی من اسپرانتو زیاد است	मेरो जीवनमा धेरै एस्पेरान्तो	میری زندگی میں بہت زیادہ ایسپرانٹو	hayatımda çok fazla Esperanto var	יותר מדי אספרנטו בחיי	الكثير من الاسبرانتو في حياتي	zu viel Esperanto in meinem Leben	demasiado esperanto en mi vida	troppo esperanto nella mia vita	muito esperanto na minha vida	слишком много эсперанто в моей жизни	za dużo esperanta w moim życiu	Esperanto ច្រើនពេកនៅក្នុងជីវិតរបស់ខ្ញុំ	ဘဝမှာ Esperanto အရမ်းများတယ်။	আমার জীবনে খুব বেশি এস্পেরান্তো	என் வாழ்க்கையில் எஸ்பெராண்டோ அதிகம்	ਮੇਰੀ ਜ਼ਿੰਦਗੀ ਵਿੱਚ ਬਹੁਤ ਜ਼ਿਆਦਾ ਐਸਪੇਰਾਂਟੋ	माझ्या आयुष्यात खूप एस्पेरांतो	నా జీవితంలో చాలా ఎస్పరాంటో	занадто багато есперанто в моєму житті	för mycket esperanto i mitt liv	Kiesperanto nyingi sana katika maisha yangu	te veel Esperanto in mijn leven	for mye esperanto i livet mitt	for meget esperanto i mit liv	pārāk daudz esperanto manā dzīvē	prea mult esperanto în viața mea	per daug esperanto mano gyvenime	твърде много есперанто в живота ми	príliš veľa esperanta v mojom živote	preveč esperanta v mojem življenju	liiga palju esperantot minu elus	příliš mnoho esperanta v mém životě	liikaa esperantoa elämässäni	túl sok eszperantó az életemben	πάρα πολύ Εσπεράντο στη ζωή μου
estas tro da Esperanto en mia vivo	there is too much Esperanto in my life	내 삶에 에스페란토가 너무 많다	il y a trop d'espéranto dans ma vie	私の人生にエスペラントが多すぎる	我的生活中有关世界语的太多	我的生活中有太多世界語	có quá nhiều Esperanto trong cuộc đời tôi	Миний амьдралд хэт их эсперанто хэл байна	มีภาษาเอสเปรันโตมากเกินไปในชีวิตของฉัน	terlalu banyak bahasa Esperanto dalam hidup saya	ada terlalu banyak bahasa Esperanto dalam hidupku	मेरे जीवन में बहुत अधिक एस्पेरान्तो है	اسپرانتو در زندگی من زیاد است	मेरो जीवनमा धेरै एस्पेरान्तो छ	میری زندگی میں بہت زیادہ ایسپرانٹو ہے۔	hayatımda çok fazla Esperanto var	יש יותר מדי אספרנטו בחיי	هناك الكثير من الاسبرانتو في حياتي	Es gibt zu viel Esperanto in meinem Leben	hay demasiado esperanto en mi vida	c'è troppo esperanto nella mia vita	há muito Esperanto na minha vida	в моей жизни слишком много эсперанто	w moim życiu jest za dużo esperanta	មាន Esperanto ច្រើនពេកនៅក្នុងជីវិតរបស់ខ្ញុំ	ဘဝမှာ Esperanto က အရမ်းများတယ်။	আমার জীবনে অনেক বেশি এস্পেরান্তো আছে	என் வாழ்க்கையில் எஸ்பெராண்டோ அதிகமாக உள்ளது	ਮੇਰੀ ਜ਼ਿੰਦਗੀ ਵਿੱਚ ਬਹੁਤ ਜ਼ਿਆਦਾ ਐਸਪੇਰਾਂਟੋ ਹੈ	माझ्या आयुष्यात खूप एस्पेरांतो आहे	నా జీవితంలో చాలా ఎక్కువ ఎస్పరాంటో ఉంది	у моєму житті занадто багато есперанто	det finns för mycket esperanto i mitt liv	kuna Kiesperanto nyingi sana maishani mwangu	er is te veel Esperanto in mijn leven	det er for mye esperanto i livet mitt	der er for meget esperanto i mit liv	manā dzīvē ir pārāk daudz esperanto	este prea mult esperanto în viața mea	mano gyvenime per daug esperanto kalbos	в живота ми има твърде много есперанто	v mojom živote je príliš veľa esperanta	v mojem življenju je preveč esperanta	minu elus on liiga palju esperantot	v mém životě je příliš mnoho esperanta	elämässäni on liikaa esperantoa	túl sok eszperantó van az életemben	υπάρχει πάρα πολύ Εσπεράντο στη ζωή μου
ĉu vi estas membro?	are you a member?	당신은 회원입니까?	Êtes vous membre?	あなたはメンバーですか？	你是会员吗？	你是會員嗎？	Bạn có phải là thành viên?	та гишүүн үү?	คุณเป็นสมาชิกหรือเปล่า?	adakah anda ahli?	Apakah kamu anggota?	क्या आप एक सदस्य हैं?	تو عضوی؟	के तपाई सदस्य हुनुहुन्छ?	کیا آپ ممبر ہیں؟	Üye misiniz?	אתה חבר?	هل أنت عضو؟	bist du ein Mitglied?	¿Es usted miembro?	Sei un membro?	você é um membro?	ты член?	czy jesteś członkiem?	តើអ្នកជាសមាជិកទេ?	သင်သည် အဖွဲ့ဝင်ဖြစ်ပါသလား။	আপনি কি একজন সদস্য?	நீங்கள் உறுப்பினரா?	ਕੀ ਤੁਸੀਂ ਮੈਂਬਰ ਹੋ?	तुम्ही सदस्य आहात का?	మీరు సభ్యులా?	ти член?	är du medlem?	wewe ni mwanachama?	ben je een lid?	er du medlem?	er du medlem?	vai tu esi biedrs?	ești membru?	ar tu narys?	членуваш ли	si členom?	ali si član?	kas sa oled liige?	jsi členem?	oletko jäsen?	tag vagy?	είσαι μέλος;
ĉu vi estas membro de organizo?	are you a member of an organization?	당신은 기관의 회원입니까?	êtes-vous membre d'une organisation?	あなたは組織のメンバーですか？	您是组织的成员吗？	您是某個組織的成員嗎？	bạn có phải là thành viên của một tổ chức?	та байгууллагын гишүүн үү?	คุณเป็นสมาชิกขององค์กรหรือไม่?	adakah anda ahli organisasi?	apakah kamu anggota suatu organisasi?	क्या आप किसी संगठन के सदस्य हैं?	آیا شما عضو یک سازمان هستید؟	के तपाई संस्थाको सदस्य हुनुहुन्छ?	کیا آپ کسی تنظیم کے رکن ہیں؟	bir örgüte üye misiniz?	האם אתה חבר בארגון?	هل أنت عضو في منظمة؟	Sind Sie Mitglied einer Organisation?	¿eres miembro de una organización?	sei membro di un'organizzazione?	você é membro de uma organização?	вы член организации?	jesteś członkiem organizacji?	តើអ្នកជាសមាជិកនៃអង្គការមួយ?	သင်က အဖွဲ့အစည်းတစ်ခုရဲ့ အဖွဲ့ဝင်လား။	আপনি একটি প্রতিষ্ঠানের সদস্য?	நீங்கள் ஒரு அமைப்பின் உறுப்பினரா?	ਕੀ ਤੁਸੀਂ ਕਿਸੇ ਸੰਸਥਾ ਦੇ ਮੈਂਬਰ ਹੋ?	तुम्ही संस्थेचे सदस्य आहात का?	మీరు సంస్థలో సభ్యులా?	ти член організації?	är du medlem i en organisation?	wewe ni mwanachama wa shirika?	bent u lid van een organisatie?	er du medlem av en organisasjon?	er du medlem af en organisation?	vai tu esi kādas organizācijas biedrs?	esti membru al unei organizatii?	ar esate organizacijos narys?	членуваш ли в организация?	si členom nejakej organizácie?	ali si član organizacije?	kas sa oled mõne organisatsiooni liige?	jsi členem nějaké organizace?	oletko jonkin järjestön jäsen?	tagja vagy valamelyik szervezetnek?	είσαι μέλος κάποιας οργάνωσης;
membro de iu alia organizo	a member of some other organization	어떤 다른 기관의 회원	un membre d'une autre organisation	他の組織のメンバー	其他组织的成员	其他組織的成員	một thành viên của một số tổ chức khác	өөр байгууллагын гишүүн	สมาชิกขององค์กรอื่น	ahli beberapa organisasi lain	anggota dari beberapa organisasi lain	किसी अन्य संगठन का सदस्य	عضو یک سازمان دیگر	कुनै अन्य संस्थाको सदस्य	کسی دوسری تنظیم کا رکن	başka bir örgütün üyesi	חבר בארגון אחר	عضو في منظمة أخرى	ein Mitglied einer anderen Organisation	un miembro de alguna otra organización	membro di qualche altra organizzazione	membro de alguma outra organização	член какой-то другой организации	członkiem jakiejś innej organizacji	សមាជិកនៃអង្គការផ្សេងទៀត។	အခြားအဖွဲ့အစည်းအချို့၏အဖွဲ့ဝင်တစ်ဦး	অন্য কোনো সংস্থার সদস্য	வேறு சில அமைப்பின் உறுப்பினர்	ਕਿਸੇ ਹੋਰ ਸੰਸਥਾ ਦਾ ਮੈਂਬਰ	इतर काही संस्थेचा सदस्य	కొన్ని ఇతర సంస్థ సభ్యుడు	член іншої організації	medlem i någon annan organisation	mwanachama wa shirika lingine	lid van een andere organisatie	medlem av en annen organisasjon	medlem af en anden organisation	kādas citas organizācijas biedrs	membru al unei alte organizații	kokios nors kitos organizacijos narys	член на друга организация	členom nejakej inej organizácie	član kakšne druge organizacije	mõne muu organisatsiooni liige	členem nějaké jiné organizace	jonkun muun järjestön jäsen	valamely más szervezet tagja	μέλος κάποιας άλλης οργάνωσης
ne vere organizo, sed ~	not really an organization, but ~	실제로 기관은 아니지만 ~	pas vraiment une organisation, mais ~	実は本当の組織ではないけど～	不是一个真正的组织，但是〜	不是一個真正的組織，但是〜	không thực sự là một tổ chức, nhưng ~	үнэндээ байгууллага биш, харин ~	ไม่ใช่องค์กรจริงๆ แต่ ~	sebenarnya bukan organisasi, tetapi ~	sebenarnya bukan sebuah organisasi, tapi ~	वास्तव में कोई संगठन नहीं, बल्कि ~	واقعا یک سازمان نیست، اما ~	वास्तवमा संस्था होइन, तर ~	واقعی ایک تنظیم نہیں، لیکن ~	aslında bir organizasyon değil ama ~	לא ממש ארגון, אבל ~	ليست حقا منظمة، ولكن ~	nicht wirklich eine Organisation, aber ~	No es realmente una organización, pero ~	non proprio un'organizzazione, ma ~	não é realmente uma organização, mas ~	не совсем организация, но ~	tak naprawdę nie jest to organizacja, ale ~	មិនមែនជាអង្គការទេ ប៉ុន្តែ ~	တကယ်အဖွဲ့အစည်းမဟုတ်ပေမယ့် ~	সত্যিই একটি সংস্থা নয়, কিন্তু ~	உண்மையில் ஒரு அமைப்பு அல்ல, ஆனால் ~	ਅਸਲ ਵਿੱਚ ਇੱਕ ਸੰਸਥਾ ਨਹੀਂ, ਪਰ ~	खरोखर एक संस्था नाही, परंतु ~	నిజంగా ఒక సంస్థ కాదు, కానీ ~	насправді не організація, але ~	egentligen inte en organisation, men ~	si kweli shirika, lakini ~	niet echt een organisatie, maar ~	egentlig ikke en organisasjon, men ~	ikke rigtig en organisation, men ~	nav īsti organizācija, bet ~	nu chiar o organizație, dar ~	tikrai ne organizacija, o ~	всъщност не е организация, а ~	nie je to v skutočnosti organizácia, ale ~	pravzaprav ni organizacija, ampak ~	mitte tegelikult organisatsioon, vaid ~	ne ve skutečnosti organizace, ale ~	ei oikeastaan organisaatio, mutta ~	igazából nem szervezet, hanem ~	όχι πραγματικά μια οργάνωση, αλλά ~
sed mi ludas gitaron	but I play guitar	그러나 나는 기타를 칩니다	mais je joue de la guitare	しかし、私はギターを弾く	但我会弹吉他	但我彈吉他	nhưng tôi chơi ghi-ta	гэхдээ би гитар тоглодог	แต่ฉันเล่นกีตาร์	tetapi saya bermain gitar	tapi aku bermain gitar	लेकिन मैं गिटार बजाता हूं	اما من گیتار میزنم	तर म गितार बजाउँछु	لیکن میں گٹار بجاتا ہوں۔	ama gitar çalıyorum	אבל אני מנגן בגיטרה	لكني أعزف على الجيتار	aber ich spiele Gitarre	pero yo toco la guitarra	ma suono la chitarra	mas eu toco violão	но я играю на гитаре	ale gram na gitarze	ប៉ុន្តែខ្ញុំលេងហ្គីតា	ဒါပေမယ့် ကျွန်တော် ဂစ်တာတီးတယ်။	কিন্তু আমি গিটার বাজাই	ஆனால் நான் கிட்டார் வாசிக்கிறேன்	ਪਰ ਮੈਂ ਗਿਟਾਰ ਵਜਾਉਂਦਾ ਹਾਂ	पण मी गिटार वाजवतो	కానీ నేను గిటార్ ప్లే చేస్తాను	але я граю на гітарі	men jag spelar gitarr	lakini mimi hupiga gitaa	maar ik speel gitaar	men jeg spiller gitar	men jeg spiller guitar	bet es spēlēju ģitāru	dar cânt la chitară	bet aš groju gitara	но свиря на китара	ale hrám na gitaru	ampak igram kitaro	aga ma mängin kitarri	ale hraju na kytaru	mutta soitan kitaraa	de én gitározom	αλλά παίζω κιθάρα
ludas gitaron en bando	plays guitar in a band	밴드에서 기타를 칩니다	joue de la guitare dans un groupe	バンドでギターを弾く	在乐队中弹吉他	在樂團中彈吉他	chơi guitar trong một ban nhạc	хамтлагт гитар тоглодог	เล่นกีตาร์ในวงดนตรี	bermain gitar dalam kumpulan muzik	bermain gitar dalam sebuah band	एक बैंड में गिटार बजाता है	در یک گروه گیتار می نوازد	ब्यान्डमा गितार बजाउँछन्	ایک بینڈ میں گٹار بجاتا ہے۔	bir grupta gitar çalıyor	מנגן בגיטרה בלהקה	يعزف الجيتار في فرقة	spielt Gitarre in einer Band	toca la guitarra en una banda	suona la chitarra in una band	toca guitarra em uma banda	играет на гитаре в группе	gra na gitarze w zespole	លេងហ្គីតានៅក្នុងក្រុម	တီးဝိုင်းမှာ ဂစ်တာတီးတယ်။	একটি ব্যান্ডে গিটার বাজায়	ஒரு இசைக்குழுவில் கிட்டார் வாசிக்கிறார்	ਇੱਕ ਬੈਂਡ ਵਿੱਚ ਗਿਟਾਰ ਵਜਾਉਂਦਾ ਹੈ	बँडमध्ये गिटार वाजवतो	బ్యాండ్‌లో గిటార్ వాయించేవాడు	грає на гітарі в гурті	spelar gitarr i ett band	hucheza gitaa katika bendi	speelt gitaar in een band	spiller gitar i et band	spiller guitar i et band	spēlē ģitāru grupā	cântă la chitară într-o trupă	groja gitara grupėje	свири на китара в група	hrá na gitaru v kapele	igra kitaro v skupini	mängib bändis kitarri	hraje na kytaru v kapele	soittaa kitaraa bändissä	zenekarban gitározik	παίζει κιθάρα σε ένα συγκρότημα
bele! mi tre ŝatas	nice! I really like	훌륭해요! 나는 매우 좋아합니다	bon! J'aime vraiment	素晴らしい！私はとても好きです	漂亮地！我很喜欢	好的！我很喜歡	Đẹp! Tôi thật sự thích	сайхан! би үнэхээр дуртай	ดี! ฉันชอบจริงๆ	bagus! Saya sangat suka	Bagus! Saya sangat suka	अच्छा! मैं वास्तव में पसंद करता हूं	خوب! واقعا دوست دارم	राम्रो! मलाई धेरै मनपर्छ	اچھا! مجھے واقعی پسند ہے	Güzel! gerçekten sevdim	נֶחְמָד! אני באמת אוהב	لطيف - جيد! انا فعلا احب	Hübsch! ich mag wirklich	¡lindo! de verdad me gusta	Carino! mi piace molto	legal! Eu realmente gosto	хороший! мне действительно нравится	Ładny! naprawdę lubię	ល្អណាស់! ខ្ញុំ​ពិតជា​ចូលចិត្ត	ကောင်းတယ်! အရမ်းကြိုက်တယ်။	চমৎকার! আমি আসলেই পচ্ছ্ন্দ করি	நன்று! எனக்கு மிகவும் பிடிக்கும்	ਵਧੀਆ! ਮੈਂ ਬਹੁਤ ਪਸੰਦ ਕਰਦਾ ਹਾਂ	छान! मला खरच आवडलं	బాగుంది! నాకు నిజం గానే ఇష్టం	приємно! мені дійсно подобається	trevlig! jag gillar verkligen	nzuri! Napenda sana	Leuk! ik hou echt van	hyggelig! jeg liker virkelig	pæn! jeg kan virkelig godt lide	jauki! man ļoti patīk	Grozav! chiar imi place	puiku! man labai patinka	хубаво! наистина харесвам	pekný! Naozaj mám rád	lepo! Res mi je všeč	kena! mulle väga meeldib	pěkný! moc se mi líbí	kiva! Minä todella pidän	szép! Nagyon szeretem	όμορφη! μ'αρέσει πραγματικά
mi ŝatas kanti	I like to sing	나는 노래하기를 좋아합니다	J'aime chanter	歌うのが好きです	我喜欢唱歌	我喜歡唱歌	tôi thích hát	би дуулах дуртай	ฉันชอบร้องเพลง	saya suka menyanyi	saya suka bernyanyi	मैं गाना पसंद करता हुँ	من دوست دارم به آواز خواندن	गाउन मन लाग्छ	مجھے گانا پسند ہے۔	şarkı söylemeyi severim	אני אוהב לשיר	أحب أن أغني	Ich mag singen	me gusta cantar	mi piace cantare	eu gosto de cantar	я люблю петь	Lubię śpiewać	ខ្ញុំ​ចូលចិត្ត​ច្រៀង	ငါသီချင်းဆိုရတာကိုကြိုက်တယ်	আমি গান গাইতে পছন্দ করি	எனக்கு பாடுவது பிடிக்கும்	ਮੈਨੂੰ ਗਾਉਣਾ ਪਸੰਦ ਹੈ	मला गाणे आवडते	నాకు పాడటం ఇష్టం	мені подобається співати	jag tycker om att sjunga	Ninapenda kuimba	ik hou van zingen	jeg liker å synge	jeg kan lide at synge	man patīk dziedāt	imi place sa cant	aš mėgstu dainuoti	обичам да пея	rád spievam	jaz rada pojem	mulle meeldib laulda	rád zpívám	Pidän laulamisesta	szeretek énekelni	μου αρέσει να τραγουδάω
tre ŝatas kanti	likes to sing very much	노래하기를 매우 좋아합니다	aime beaucoup chanter	歌うのが大好き	非常喜欢唱歌	非常喜歡唱歌	thích hát rất nhiều	дуулах их дуртай	ชอบร้องเพลงมาก	suka menyanyi sangat	sangat suka menyanyi	गाना बहुत पसंद है	خیلی دوست دارد آواز بخواند	गाउन धेरै मन पर्छ	گانا بہت پسند ہے۔	şarkı söylemeyi çok seviyor	אוהב מאוד לשיר	يحب الغناء كثيرا	singt sehr gern	le gusta mucho cantar	piace molto cantare	gosta muito de cantar	очень любит петь	bardzo lubi śpiewać	ចូលចិត្តច្រៀងខ្លាំងណាស់	သီချင်းဆိုရတာ အရမ်းကြိုက်တယ်။	গান গাইতে খুব ভালো লাগে	பாடுவது மிகவும் பிடிக்கும்	ਗਾਉਣਾ ਬਹੁਤ ਪਸੰਦ ਕਰਦਾ ਹੈ	गाणे खूप आवडते	పాడటం చాలా ఇష్టం	дуже любить співати	gillar att sjunga väldigt mycket	anapenda kuimba sana	houdt erg van zingen	liker veldig godt å synge	kan rigtig godt lide at synge	ļoti patīk dziedāt	îi place foarte mult să cânte	labai mėgsta dainuoti	много обича да пее	veľmi rád spieva	zelo rad poje	meeldib väga laulda	velmi rád zpívá	tykkää laulamisesta kovasti	nagyon szeret énekelni	του αρέσει πολύ να τραγουδά
kian muzikon vi ludas?	what kind of music do you play?	당신은 어떤 음악을 연주합니까?	Quelle sorte de musique joues tu?	あなたはどんな音楽を演奏しますか？	你演奏什么样的音乐？	你播放什麼類型的音樂？	bạn chơi loại nhạc gi?	чи ямар хөгжим тоглодог вэ?	คุณเล่นดนตรีประเภทไหน?	apakah jenis muzik yang anda mainkan?	Musik jenis apa yang anda mainkan?	आप किस तरह का संगीत बजाते हैं?	چه نوع موسیقی ای می نوازی؟	तपाईं कस्तो प्रकारको संगीत बजाउनुहुन्छ?	آپ کس قسم کی موسیقی چلاتے ہیں؟	Ne tür müzik çalıyorsun?	איזה סוג מוזיקה אתה מנגן	أي نوع من الموسيقى هل لعب؟	Was für Musik spielst du?	¿Qué tipo de música tocas?	Che genere di musica suonate?	Que tipo de música você toca?	какую музыку ты играешь?	jaki rodzaj muzyki grasz?	តើអ្នកលេងភ្លេងបែបណា?	ဘယ်လိုဂီတမျိုး တီးတာလဲ။	আপনি কি ধরনের সঙ্গীত বাজান?	நீங்கள் என்ன வகையான இசையை வாசிக்கிறீர்கள்?	ਤੁਸੀਂ ਕਿਸ ਕਿਸਮ ਦਾ ਸੰਗੀਤ ਚਲਾਉਂਦੇ ਹੋ?	तुम्ही कोणत्या प्रकारचे संगीत वाजवता?	మీరు ఎలాంటి సంగీతాన్ని ప్లే చేస్తారు?	яку музику ти граєш?	vad spelar du för musik?	unacheza muziki wa aina gani?	wat voor muziek speel je?	hva slags musikk spiller du?	hvilken slags musik spiller du?	kādu mūziku tu spēlē?	ce fel de muzica cantati?	kokia muzika tu groji?	каква музика свириш	akú hudbu hráš?	kakšno glasbo igraš?	mis muusikat sa mängid?	jakou hudbu hraješ?	millaista musiikkia soitat?	milyen zenét játszol?	τι είδους μουσική παίζεις;
nu, estas simpla popo	well, it's simple pop	음, 간단한 팝 음악입니다.	eh bien, c'est simple pop	えっと、シンプルなポップミュージックです。	嗯，很简单的流行音乐	嗯，很簡單的流行音樂	à, nó đơn giản thôi	За, энэ бол энгийн поп юм	มันเป็นป๊อปง่ายๆ	baik, ia adalah pop mudah	yah, itu pop sederhana	खैर, यह सरल पॉप है	خوب، پاپ ساده است	खैर, यो सरल पप छ	ٹھیک ہے، یہ سادہ پاپ ہے	peki, bu basit bir pop	ובכן, זה פופ פשוט	حسنًا، إنها موسيقى البوب البسيطة	Nun, es ist einfach Pop	bueno, es simple pop	beh, è semplice pop	bem, é simples pop	ну это просто попса	cóż, to prosty pop	ជាការប្រសើរណាស់ វាជាប៉ុបដ៏សាមញ្ញ	ကောင်းပြီ၊ ဒါဟာရိုးရှင်းတဲ့ပေါ့ပ်	ভাল, এটা সহজ পপ	சரி, இது எளிமையான பாப்	ਨਾਲ ਨਾਲ, ਇਹ ਸਧਾਰਨ ਪੌਪ ਹੈ	बरं, हे साधे पॉप आहे	బాగా, ఇది సాధారణ పాప్	ну це просто поп	Tja, det är enkel pop	vizuri, ni pop rahisi	nou, het is simpel pop	vel, det er enkel pop	godt, det er simpel pop	nu, tas ir vienkāršs pops	Ei bine, este simplu pop	Na, tai paprastas popsas	добре, това е просто поп	no, je to jednoduchý pop	no, to je preprost pop	noh, see on lihtne pop	no, je to jednoduchý pop	no, se on yksinkertaista poppia	hát ez egyszerű pop	Λοιπόν, είναι απλό ποπ
ni ĵus fondis la bandon	we just started the band	우리는 바로전에 밴드를 만들었습니다	nous venons de créer le groupe	私たちはたった今バンドを作りました	我们刚刚组建乐队	我們剛剛組樂隊	chúng tôi mới thành lập ban nhạc	Бид хамтлагаа дөнгөж эхлүүлсэн	เราเพิ่งเริ่มวงดนตรี	kami baru memulakan band	kami baru saja memulai band	हमने अभी बैंड शुरू किया है	ما تازه گروه را راه اندازی کردیم	हामीले भर्खरै ब्यान्ड सुरु गर्यौं	ہم نے ابھی بینڈ شروع کیا ہے۔	gruba yeni başladık	רק התחלנו את הלהקה	لقد بدأنا الفرقة للتو	Wir haben die Band gerade erst gegründet	Acabamos de empezar la banda.	abbiamo appena fondato la band	acabamos de começar a banda	мы только что создали группу	właśnie założyliśmy zespół	យើងទើបតែចាប់ផ្តើមក្រុម	ကျွန်တော်တို့ တီးဝိုင်းကို အခုမှစတယ်။	আমরা সবেমাত্র ব্যান্ড শুরু করেছি	நாங்கள் இசைக்குழுவைத் தொடங்கினோம்	ਅਸੀਂ ਹੁਣੇ ਬੈਂਡ ਸ਼ੁਰੂ ਕੀਤਾ ਹੈ	आम्ही नुकताच बँड सुरू केला	మేము ఇప్పుడే బ్యాండ్‌ని ప్రారంభించాము	ми тільки заснували групу	vi har precis startat bandet	ndio tumeanza bendi	we zijn net met de band begonnen	vi har nettopp startet bandet	vi har lige startet bandet	mēs tikko sākām grupu	tocmai am început trupa	mes ką tik pradėjome grupę	току-що започнахме групата	práve sme založili kapelu	pravkar smo ustanovili bend	alustasime just bändiga	právě jsme založili kapelu	aloitimme juuri bändin	most kezdtük a zenekart	μόλις ξεκινήσαμε το συγκρότημα
