eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn
la patrino ridetis	the mother smiled	그 어머니는 미소를 지었다	la mère a souri	その母は微笑んだ	母亲微笑着	母親微笑著	mẹ mỉm cười
je liaj vortoj	at his words	그의 말대로	à ses mots	彼の言葉通り	按他的话	按他的話	theo lời của anh ấy
ŝi scias, ke ~	she knows that ~	그녀는 ~한 것을 알고있다	elle le sait ~	彼女は～したことを知っている	她知道~	她知道~	cô ấy biết điều đó ~
iom tro parolas	talks a little too much	약간은 너무 많이 말한다	parle un peu trop	少しは言いすぎだ	说得有点太多了	說得有點太多了	nói hơi nhiều
ne sufiĉas nur ~	it's not enough just ~	~하기만 하는 것은 충분하지 않다	ce n'est pas suffisant ~	~することだけでは不十分である	光是还不够~	光是還不夠~	chỉ vậy thôi là chưa đủ ~
riĉeco de la ideoj	wealth of ideas	아이디어들의 풍부함	richesse d'idées	アイデアの豊かさ	丰富的想法	豐富的想法	ý tưởng dồi dào
necesas ankaŭ ~	~ is also needed	~하는 것도 필요하다	~ est également nécessaire	~することも必要だ	还需要~	還需要~	~ cũng cần thiết
plena monujo por realigi ĝin	a full wallet to make it happen	그것을 실현시키기 위한 충분한 지갑	un portefeuille bien rempli pour y parvenir	それを実現させるための十分な財布	一个完整的钱包来实现它	一個完整的錢包來實現它	một chiếc ví đầy đủ để biến điều đó thành hiện thực
la patrino daŭrigis ~	the mother continued ~	그 어머니는 ~를 계속했다	la mère a continué ~	その母親は～を続けた	妈妈继续说~	媽媽繼續說~	mẹ tiếp tục ~
post iom da silento	after a little silence	약간의 정적후에	après un petit silence	少しの静寂の後	一阵沉默后	一陣沉默後	sau một lúc im lặng
antaŭ kelkaj minutoj	a few minutes ago	몇 분 전에	il y a quelques minutes	数分前に	几分钟前	幾分鐘前	một vài phút trước
Ana telefonis, ke ŝi ~	Ana called that she ~	아나(Ana)는 그녀가 ~ 한다고 전화했다	Ana a appelé ainsi elle ~	アナ(Ana)は彼女が～すると電話してきた。	安娜称她为~	安娜稱她為~	Ana gọi đó là cô ấy ~
ankaŭ ŝi vizitos nin	she will also visit us	그녀도 우리를 방문할 것이다	elle nous rendra également visite	彼女も私たちを訪問するだろう	她也会来拜访我们	她也會來拜訪我們	cô ấy cũng sẽ đến thăm chúng tôi
dolĉa kuko	a sweet cake	달콤한 과자	un gâteau sucré	甘いお菓子	一个甜甜的蛋糕	一個甜甜的蛋糕	một chiếc bánh ngọt
ŝi tre ŝatas dolĉan kukon	she really likes sweet cake	그녀는 달콤한 과자를 매우 좋아한다	elle aime vraiment les gâteaux sucrés	彼女は甘いお菓子が大好きです。	她真的很喜欢甜蛋糕	她真的很喜歡甜蛋糕	cô ấy rất thích bánh ngọt
atentas por ne dikiĝi	is careful not to get fat	살찌지 않기위해 주의한다	fait attention à ne pas grossir	太らないように注意している	小心不要发胖	小心不要發胖	cẩn thận để không bị béo
kvankam ŝi atentos	although she will pay attention	그녀가 주의할 것임에도 불구하고	même si elle fera attention	彼女が注意するにもかかわらず	虽然她会注意	雖然她會注意	mặc dù cô ấy sẽ chú ý
tuj ŝanĝis la opinion	immediately changed the mind	즉시 그 의견을 바꿨다	j'ai immédiatement changé d'avis	すぐにその意見を変えた	立即改变主意	立即改變主意	ngay lập tức thay đổi ý định
dum la ekskurso	during the excursion	그 소풍 동안	pendant la randonnée	そのピクニックの間	游览期间	遊覽期間	trong chuyến tham quan
sen ŝi	without her	그녀 없이	sans elle	彼女なしで	没有她	沒有她	không có cô ấy
li estus tre soleca	he would be very lonely	그는 매우 외로울 것이다	il serait très seul	彼はとても寂しいでしょう	他会很孤独	他會很孤獨	anh ấy sẽ rất cô đơn
mi tamen pasigos	I will pass though	그러나 나는 보낼 것이다	je vais quand même passer	しかし、私は送ります	我会过去的	我會過去的	Tuy nhiên tôi sẽ vượt qua
mi tamen pasigos la morgaŭan tagon hejme	I will spend tomorrow at home though	그러나 나는 내일을 집에서 보낼 것이다	Mais je passerai demain à la maison	しかし、私は明日を家で過ごします	不过明天我会在家度过	不過明天我會在家度過	Dù vậy ngày mai tôi sẽ ở nhà
en juneco	in youth	젊을 때	chez les jeunes	若い頃	年轻时	年輕時	Trong tuổi trẻ
oni havas	one has	사람들은 가지고 있다	on a	人々は持っている	一个有	一個有	một có
havas ankaŭ belecon	also has beauty	아름다움도 가지고 있다	a aussi de la beauté	美しさも持っている	也有美丽	也有美麗	cũng có vẻ đẹp
malsimplaj laboroj	complicated jobs	복잡한 일들	travaux compliqués	複雑なこと	复杂的工作	複雜的工作	công việc phức tạp
malsimplajn laborojn	complicated jobs (objective)	복잡한 일들을	métiers compliqués (objectif)	複雑なことを	复杂的工作（目标）	複雜的工作（目標）	công việc phức tạp (khách quan)
devus plisimpligi	should simplify	더욱 단순화 시켜야 할 것이다	devrait simplifier	さらに単純化させなければならないだろう	应该简化	應該簡化	nên đơn giản hóa
en tiu aĝo	at that age	그 나이에	à cet âge	その年齢で	在那个年纪	在那個年紀	Ở lứa tuổi đó
li jam fariĝis ~	he has already become ~	그는 이미 ~이 되었다	il est déjà devenu ~	彼はすでに〜になった	他已经成为了~	他已經成為了~	anh ấy đã trở thành rồi ~
estro de la sporta klubo	head of the sports club	그 스포츠 클럽의 대표	responsable du club sportif	そのスポーツクラブの代表	体育俱乐部主席	體育俱樂部主席	chủ tịch câu lạc bộ thể thao
monon oni metas	one puts money	누군가 돈을 둔다	on met de l'argent	誰かがお金を置く	一个人放钱	一個人放錢	một người bỏ tiền
en monujon	into a wallet	지갑 안에	dans un portefeuille	財布の中に	放进钱包里	放進錢包裡	vào một chiếc ví
metas en monujon	puts in a purse	지갑 안에 둔다	met dans un sac à main	財布の中に入れる	放入钱包	放入錢包	bỏ vào ví
sekvu la ekzemplojn	follow the examples	그 사례들을 따르세요	suivez les exemples	その事例をフォローしてください	遵循示例	遵循範例	làm theo các ví dụ
de la bonaj familianoj	from the good family members	훌륭한 그 가족 구성원들의	des bons membres de la famille	素晴らしいその家族のメンバーたちの	来自优秀的家庭成员	來自優秀的家庭成員	từ những thành viên tốt trong gia đình
ĉu amikeco pli feliĉigas?	does friendship make you happier?	우정이 더욱 행복하게 만드는가?	l'amitié rend-elle plus heureux ?	友情があなたをより幸せにするのか？	友谊会让你更快乐吗？	友誼會讓你更快樂嗎？	tình bạn có làm bạn hạnh phúc hơn không?
feliĉigas vin	makes you happy	당신을 행복하게 만든다	te rend heureux	あなたを幸せにする	让你开心	讓你開心	làm bạn hạnh phúc
ol la amo	than the love	그 사랑보다도	que l'amour	その愛よりも	比爱	比愛	hơn tình yêu
kiel ofte vi ~ ?	how often do you ~ ?	당신은 얼마나 자주 ~?	à quelle fréquence faites-vous ~ ?	あなたはどのくらいの頻度で～？	你多久一次〜？	你多久一次〜？	bạn có thường xuyên như vậy không ~ ?
vi skribas leterojn al ~	you write letters to ~	당신은 ~에게 편지들을 쓴다	tu écris des lettres à ~	あなたは～に手紙を書く	你写信给~	你寫信給~	bạn viết thư cho ~
skrivas leterojn al viaj amikinoj	writes letters to your girl friends	당신의 여자 친구들에게 편지를 쓴다	écrit des lettres à tes amies	あなたのガールフレンドに手紙を書く	给你的女朋友写信	寫信給你的女朋友	viết thư cho bạn gái của bạn
viaj amikinoj en Italio	your girl friends in Italy	이탈리아에 있는 당신의 여자친구들	tes amies en Italie	イタリアにいるあなたのガールフレンドたち	你在意大利的女朋友	你在義大利的女朋友	bạn gái của bạn ở Ý
la rilato inter vi kaj via instruisto	the relation between you and your teacher	당신과 당신의 선생님과의 그 관계	la relation entre vous et votre professeur	あなたとあなたの先生とのその関係	你和你的老师之间的关系	你和你的老師之間的關係	mối quan hệ giữa bạn và giáo viên của bạn
ĉu la rilato ŝanĝiĝis?	has the relationship changed?	그 관계가 변화했는가?	la relation a-t-elle changé ?	その関係は変わったか？	关系有变化吗？	關係有變化嗎？	mối quan hệ đã thay đổi?
ĉu vi jam scias ~ ?	do you already know ~ ?	너는 이미 ~를 아는가?	tu sais déjà ~ ?	あなたはすでに～を知っていますか？	你已经知道了吗~？	你已經知道了嗎~？	bạn đã biết chưa ~?
sufiĉe bone	quite well	충분히 잘	plutôt bien	十分によく	很好	很好	khá tốt
estis vespero en ~	it was evening in ~	~에는 저녁이였다	c'était le soir à ~	~には夕方だった	当时是晚上~	當時是晚上~	trời đã tối ~
centoj da homoj	hundreds of people	수백명의 사람들	des centaines de personnes	何百人もの人々が	数百人	數百人	hàng trăm người
plenigas la placon	fills the square	그 광장을 가득 채운다	remplit le carré	その広場を埋め尽くす	填满正方形	填滿正方形	lấp đầy hình vuông
junuloj kaj militistoj	young men and soldiers	젊은이들과 군인들	jeunes hommes et soldats	若者と兵士たち	年轻人和士兵	年輕人和士兵	thanh niên và binh lính
maristoj de sur la ŝipoj	sailors from the ships	그 배들 위로부터의 선원들	marins des navires	その船の上からの船員たち	船上的水手	船上的水手	thủy thủ từ tàu
elstara sinjorino	outstanding lady	저명한 부인	dame exceptionnelle	著名な婦人たち	杰出女士	傑出女士	quý cô xuất sắc
elstaraj sinjorinoj	outstanding ladies	저명한 부인들	dames exceptionnelles	著名な婦人たち	杰出女士	傑出女士	phụ nữ xuất sắc
alilandaj vojaĝantoj	foreign travelers	외국의 여행객들	voyageurs étrangers	外国からの旅行者たち	外国游客	外國遊客	du khách nước ngoài
ĉiuj moviĝas al urbomezo	everyone is moving to the city center	도시 중심으로 모두들 움직인다	tout le monde déménage vers le centre-ville	都市を中心に皆が動く	每个人都在搬到市中心	每個人都在搬到市中心	mọi người đang di chuyển đến trung tâm thành phố
iom plue	a little further	약간 더	un peu plus loin	もう少し	再远一点	再遠一點	xa hơn một chút
ne malproksime de la maro	not far from the sea	그 바다로부터 멀지 않게	pas loin de la mer	その海からほど近いところに	离海不远	離海不遠	không xa biển
troviĝis malgranda placo	there was a small square	작은 광장이 있었다	il y avait une petite place	小さな広場があった	有一个小广场	有一個小廣場	có một hình vuông nhỏ
iom plue sed ne malproksime	a little further but not far	조금 더 하지만 멀지 않게	un peu plus loin mais pas loin	もう少し、でも遠くないところに	远一点但不远	遠一點但不遠	xa hơn một chút nhưng không xa
fine de ĝi	at the end of it	그것의 끝 자락에	à la fin	その端っこに	在它的最后	在它的最後	ở phần cuối của nó
proksime de la maro	near the sea	그 바다 가까이에	près de la mer	その海の近くに	靠近大海	靠近大海	gần biển
proksime staris homo	a man stood nearby	가까이에 사람이 서 있었다	un homme se tenait à proximité	近くに人が立っていた	一个男人站在附近	一個男人站在附近	một người đàn ông đứng gần đó
laŭ la vestaĵo	according to the clothing	그 옷 가지에 따라	selon les vêtements	その服の種類によって	根据服装	根據服裝	theo quần áo
oni facile scii ~	one may know easily ~	누구나 쉽게 ~를 알 수 있다	on peut le savoir facilement ~	誰でも簡単に～を知ることができる	很容易就知道了~	很容易就知道了~	người ta có thể dễ dàng biết được ~
oni povis ekscii, ke ~	it was possible to find out that ~	누구나 ~하다는 것을 알아차릴 수 있었다	il était possible de découvrir que ~	誰でも～であることに気づくことができた	可以查到~	可以查到~	có thể tìm ra điều đó ~
gondolisto de iu riĉulo	a rich man's gondolier	어떤 부자의 곤돌라 운전수	le gondolier d'un homme riche	ある金持ちのゴンドラ運転手	有钱人的贡多拉船夫	有錢人的貢多拉船夫	người chèo thuyền gondola của một người giàu
povis ekscii, ke li estas gondolisto	could find out that he was a gondolier	그가 곤돌라 운전수라는 것을 알아차릴 수 있었다	j'ai pu découvrir qu'il était gondolier	彼がゴンドラの運転手であることがわかる。	可以发现他是一个贡多拉船夫	可以發現他是個貢多拉船夫	có thể phát hiện ra rằng anh ta là một người chèo thuyền gondola
li rigardis ~	he looked ~	그는 ~를 바라보았다	il avait l'air ~	彼は～を眺めていた	他看着~	他看著~	anh ấy nhìn ~
rigardis la ĝojan hommulton	looked at the joyful crowd	흥겨운 사람무리를 바라보았다	j'ai regardé la foule joyeuse	にぎやかな人々の群れを眺めていた	看着欢乐的人群	看著歡樂的人群	nhìn đám đông vui vẻ
rideto lumigis lian vizaĝon	a smile lit up his face	미소가 그의 얼굴을 밝게 했다	un sourire illumina son visage	笑顔が彼の顔を明るくした	他的脸上绽放出笑容	他的臉上綻放出笑容	một nụ cười làm sáng lên khuôn mặt anh ấy
kiam li ekvidis mariston	when he saw a sailor	그가 선원을 보았을 때	quand il a vu un marin	彼が船員を見たとき	当他看到一个水手时	當他看到一個水手時	khi anh ấy nhìn thấy một thủy thủ
la mariston, kiu alvenis	the sailor who arrived	그 선원, 도착했던 그	le marin qui est arrivé	その船員、到着した彼	到达的水手	到達的水手	thủy thủ đã đến
la flanko de la maro	the side of the sea	그 바다 쪽	le côté de la mer	その海の方	海的一边	海的一邊	bên bờ biển
alvenis el la flanko de la maro	arrived from the side of the sea	그 바다 쪽으로부터 도착했다	arrivé du bord de la mer	その海側から到着した	从海边来的	從海邊來的	đến từ phía biển
ĉu tio estas vi, Stefano?	is that you, Stephen?	거기 스테파노(Stefano) 너니?	c'est toi, Stephen ?	そこのステファノ(Stefano)君か？	是你吗，史蒂芬？	是你嗎，史蒂芬？	có phải bạn không, Stephen?
ekkriis la gondolisto	exclaimed the gondolier	곤돌라 운전수가 소리쳤다	s'exclama le gondolier	ゴンドラの運転手が叫んだ	船夫惊呼道	船夫驚呼道	người chèo thuyền kêu lên
ĉiuj diras, ke ~	everyone says that ~	모두가 ~ 하다고 말한다	tout le monde dit ça ~	みんなが～だと言う	大家都这么说~	大家都這麼說~	mọi người đều nói vậy ~
en la manojn de la Turkoj	into the hands of the Turks	터키 사람들 손에	entre les mains des Turcs	トルコ人の手に	落入土耳其人手中	落入土耳其人手中	vào tay người Thổ
ke vi falis en la manojn de la Turkoj	that you fell into the hands of the Turks	너가 터기 사람들 손에 떨어졌다고	que tu es tombé entre les mains des Turcs	お前がトルコ人の手に落ちたと	你落入土耳其人手中	你落入土耳其人手中	rằng bạn đã rơi vào tay người Thổ Nhĩ Kỳ
ni renkontis unu	we met one	우리는 한 사람을 만났다	nous en avons rencontré un	私たちは一人の人に会った	我们遇到了一个	我們遇到了一個	chúng tôi đã gặp một người
el niaj ŝipoj	from our ships	우리의 배들로부터	de nos navires	私たちの船から	从我们的船上	從我們的船上	từ tàu của chúng tôi
ĝi sekvis nin	it followed us	그게 우리를 따라왔다	il nous a suivi	それが私たちを追いかけてきた	它跟着我们	它跟著我們	nó đã theo chúng tôi
dum pli ol unu horo	for more than an hour	한 시간 넘는 동안	pendant plus d'une heure	一時間以上の間	一个多小时	一個多小時	trong hơn một giờ
sed ne estas facile iri ~	but it is not easy to go ~	그러나 ~에 가는 것은 쉽지 않다	mais ce n'est pas facile d'y aller ~	しかし〜に行くのは簡単ではない	但走起来并不容易~	但走起來不容易~	nhưng không dễ đi đâu ~
iri pli rapide ol nia ŝipo	to go faster than our ship	우리의 배보다 더 빨리 가기	aller plus vite que notre bateau	私たちの船より速く行く	比我们的船走得更快	比我們的船走得更快	đi nhanh hơn tàu của chúng tôi
kiaj novaĵoj estas tie ĉi?	what news is here?	어떠한 뉴스들이 여기 있나요?	quelles nouvelles y a-t-il ici ?	どんなニュースがここにありますか？	这里有什么新闻？	這裡有什麼新聞？	có tin gì đây?
tie ĉi en Venecio	here in Venice	여기 베네치아 안에	ici à Venise	ここヴェネツィアの中に	在威尼斯这里	在威尼斯這裡	ở Venice đây
nenio interesa	nothing interesting	아무 것도 흥미롭지 않은	rien d'interessant	何も面白くない	没什么有趣的	沒什麼有趣的	không có gì thú vị
nur granda malfeliĉo	just a big misfortune	단지 커다란 불행만	juste un gros malheur	ただ大きな不幸だけ	只是一个大不幸	只是一個大不幸	chỉ là một điều bất hạnh lớn
ĉu vi konas Pietron?	do you know Pietro?	당신은 피에트로(Pietro)를 아십니까?	tu connais Pietro ?	あなたはピエトロ（Pietro）を知っていますか？	你认识彼得罗吗？	你認識彼得羅嗎？	bạn có biết Pietro không?
mi konas lin	I know him	나는 그를 압니다	je le connais	私は彼を知っています	我认识他	我認識他	tôi biết anh ấy
granda ŝipo subakvigis lian gondolon	a large ship submerged his gondola	커다란 배가 그의 곤돌라를 침몰시켰다	un grand navire a submergé sa gondole	大きな船が彼のゴンドラを沈めた。	一艘大船淹没了他的贡多拉	一艘大船淹沒了他的貢多拉	một con tàu lớn nhấn chìm chiếc thuyền gondola của anh ấy
kaj kio pri li?	and what about him?	그리고 그에 대해서 무엇?	et lui ?	そして彼について何？	那么他呢？	那麼他呢？	còn anh ấy thì sao?
la gondolo subakviĝis	the gondola sank	그 곤돌라가 침몰했다	la gondole a coulé	そのゴンドラが沈没した	贡多拉沉没了	貢多拉沉沒了	chiếc thuyền gondola bị chìm
okazis, ke ~	it happened that ~	~하는 것이 발생했다	c'est arrivé ~	~ということが起こった	原来如此~	原來如此~	chuyện đó đã xảy ra ~
ni troviĝis proksime	we were close	우리는 가까이에 있었다	nous étions proches	私たちは近くにいた	我们很接近	我們很接近	chúng tôi đã thân thiết
ni prenis lin en nian gondolon	we took him in our gondola	우리는 그를 우리 곤돌라 안으로 끌어드렸다	nous l'avons emmené dans notre gondole	私たちは彼を私たちのゴンドラの中に引きずり込んだ	我们把他带上了我们的缆车	我們把他帶上了我們的纜車	chúng tôi đã đưa anh ấy lên chiếc thuyền gondola của chúng tôi
en la sama tempo	at the same time	똑같은 그 시간 안에	en même temps	同じその時間内に	同时	同時	đồng thời
mia estro subakviĝis	my boss drowned	나의 상관은 물에 빠졌다	mon patron s'est noyé	私の上司は水に落ちた	我的老板淹死了	我的老闆淹死了	sếp của tôi chết đuối
por helpi junulinon	to help a young woman	젊은 여인을 돕기 위해	aider une jeune femme	若い女性を助けるために	帮助一位年轻女子	幫助一位年輕女子	để giúp đỡ một phụ nữ trẻ
junulinon, kiu preskaŭ mortis	a young woman who almost died	젊은 여인을, 거의 죽다시피한 그	une jeune femme qui a failli mourir	若い女性を、ほとんど死にそうになった彼を	一位差点死去的年轻女子	一位差點死去的年輕女子	một phụ nữ trẻ suýt chết
kun sia onklo	with his uncle	자신의 삼촌과 함께	avec son oncle	自分の叔父と一緒に	和他叔叔	和他叔叔	với chú của anh ấy
preskaŭ mortis kun sia onklo	almost died with his uncle	자신의 삼촌과 함께 거의 죽을뻔 했다	a failli mourir avec son oncle	自分の叔父と一緒に死にかけた。	差点和他叔叔一起死	差點跟他叔叔一起死	suýt chết với chú của mình
tie estis junulino	there was a young woman	거기에 젊은 여인이 있었다	il y avait une jeune femme	そこに若い女性がいた	有一个年轻女子	有一個年輕女子	có một phụ nữ trẻ
lin ni ne povis helpi	we could not help him	그를 우리가 도울 수 없었다	nous ne pouvions pas l'aider	私たちは彼を助けることができなかった	我们无法帮助他	我們無法幫助他	chúng tôi không thể giúp anh ấy
estis grava homo	was an important person	중요한 사람이었다	était une personne importante	重要な人だった	是一个重要的人	是一個重要的人	là một người quan trọng
kio alvenigis vin en Venecion?	what brought you to Venice?	무엇이 당신을 베네치아에 오게 만들었느냐?	Qu'est-ce qui t'a amené à Venise ?	何があなたをヴェネツィアに来させたのですか？	是什么让你来到威尼斯的？	是什麼讓你來到威尼斯的？	điều gì đã đưa bạn đến Venice?
amiko mia	my friend	나의 친구	mon ami	私の友人	我的朋友	我的朋友	bạn tôi
la maristo ekrigardis	the sailor looked up	그 선원은 쳐다보기 시작했다	le marin a levé les yeux	その船員は見つめ始めた	水手抬起头来	水手抬起頭來	người thủy thủ nhìn lên
rapide ekrigardis sian amikon	quickly glanced at his friend	재빨리 자신의 친구를 쳐다보았다	jeta rapidement un coup d'œil à son ami	すぐに自分の友人を見つめ直した	快速地看了他的朋友一眼	快速地看了他的朋友一眼	nhanh chóng liếc nhìn người bạn của mình
kaj komencis diri	and began to say	그리고 말하기 시작했다	et j'ai commencé à dire	そして話し始めた	并开始说	並開始說	và bắt đầu nói
do vi scias ~	so you know ~	그래서 당신은 ~를 안다	donc tu sais ~	だからあなたは～を知っている	所以你知道~	所以你知道~	vậy bạn biết đấy ~
mi alportis ~	I brought ~	나는 ~를 가지고 왔다	J'ai apporté ~	私は～を持ってきました	我带来了~	我帶來了~	Tôi đã mang ~
la gondolisto subite haltigis lin	the gondolier suddenly stopped him	그 곤돌라 운전수 갑자기 그를 멈춰세웠다	le gondolier l'arrêta brusquement	そのゴンドラ運転手は突然彼を止めた。	船夫突然叫住了他	船夫突然叫住了他	người lái thuyền gondola đột nhiên chặn anh ta lại
li diris	he said	그는 말했다	il a dit	彼は言った	他说	他說	anh ấy nói
tiam iu homo pasis	then a man passed by	그 때 어떤 사람이 지나갔다	puis un homme est passé par là	その時、ある人が通りかかった	然后一个人经过	然後一個人經過	rồi một người đàn ông đi ngang qua
iu homo pasis apud li	a man passed by him	어떤 사람이 그 곁을 지나갔다	un homme est passé à côté de lui	ある人が彼のそばを通り過ぎた	一个男人从他身边经过	一個男人從他身邊經過	một người đàn ông đi ngang qua anh ta
li ankoraŭ ne estis tridekjara	he was not yet thirty	그는 아직 30세가 아니었다	il n'avait pas encore trente ans	彼はまだ30歳ではなかった	他还不到三十岁	他還不到三十歲	anh ấy chưa ba mươi
kaj lia vizaĝo estis senkolora	and his face was colorless	그리고 그의 얼굴을 창백해졌다	et son visage était incolore	そして彼の顔は青ざめた	他的脸毫无血色	他的臉毫無血色	và khuôn mặt của anh ấy không có màu sắc
lia iro estis certa kaj facila	his going was sure and easy	그가 가는 것은 확실하고 쉬웠다	son départ était sûr et facile	彼が行くのは確実で簡単だった	他的去程既确定又轻松	他的去程既確定又輕鬆	chuyến đi của anh ấy chắc chắn và dễ dàng
lia vizaĝo estis malĝoja	his face was sad	그의 얼굴은 슬펐다	son visage était triste	彼の顔は悲しかった	他的脸很悲伤	他的臉很悲傷	khuôn mặt anh ấy buồn bã
kiam li ekvidis la homon, ~	when he saw the man, ~	그가 그 사람을 쳐다 보았을 때, ~	quand il a vu l'homme, ~	彼がその人を見つめたとき、〜。	当他看到那个人的时候~	當他看到那個人的時候~	khi anh ấy nhìn thấy người đàn ông đó, ~
oni diras, ke ~	it is said that ~	누군가 ~ 이라고 말한다	on dit que ~	誰かが〜と言う	据说~	據說~	người ta nói thế ~
multaj gravuloj donas ~	many important people give ~	많은 주요 인물들이 ~를 준다	beaucoup de personnes importantes donnent ~	多くの主要人物が～を与える	很多重要的人都给予~	很多重要的人都給予~	nhiều người quan trọng cho ~
sekreta laboro	secret work	비밀스러운 작업	travail secret	秘密の仕事	秘密工作	秘密工作	công việc bí mật
sekretaj laboroj	secret jobs	비밀스러운 작업들	emplois secrets	秘密の仕事たち	秘密工作	秘密工作	công việc bí mật
donas sekretajn laborojn al li	gives secret jobs to him	그에게 비밀스러운 일거리들을 준다	lui donne des emplois secrets	彼に秘密の仕事を与える	给他秘密工作	給他秘密工作	giao cho anh ta những công việc bí mật
tro da sekretoj	too many secrets	너무 많은 비밀들	trop de secrets	秘密が多すぎる	太多的秘密	太多的秘密	quá nhiều bí mật
li scias tro da sekretoj	he knows too many secrets	그는 너무 많은 비밀들을 알고 있다	il connaît trop de secrets	彼はあまりにも多くの秘密を知っている	他知道太多秘密	他知道太多秘密	anh ấy biết quá nhiều bí mật
tial ili timas	therefore they are afraid	그래서 그들은 두려워 한다	donc ils ont peur	だから彼らは恐れている	因此他们害怕	因此他們害怕	vì vậy họ sợ
sendi lin en malliberejon	to send him to prison	그를 감옥에 보낸다	pour l'envoyer en prison	彼を刑務所に送る	把他送进监狱	把他送進監獄	đưa anh ta vào tù
diris la maristo	said the sailor	그 선원이 말했다	dit le marin	その船員は言った	水手说	水手說	thủy thủ nói
kaj dum li parolis	and as he spoke	그리고 그가 말했던 동안에	et pendant qu'il parlait	そして彼が話している間	当他说话时	當他說話時	và khi anh ấy nói
li montris la domegon	he pointed to the mansion	그는 그 빌딩을 가리켰다	il a montré le manoir	彼はその建物を指差した	他指着豪宅	他指著豪宅	anh ấy chỉ vào biệt thự
la domego de Doĝoj	the mansion of Doges	도조(Doĝoj)의 그 빌딩	le manoir des Doges	ドジョー(Doĝoj)のあのビル。	总督府	總督府	biệt thự của Doges
multaj gravuloj bezonas lian helpon	many important people need his help	많은 주요 인물들이 그의 도움을 필요로 한다	de nombreuses personnes importantes ont besoin de son aide	多くの主要人物が彼の助けを必要としている	许多重要的人需要他的帮助	許多重要的人需要他的幫助	nhiều người quan trọng cần sự giúp đỡ của anh ấy
kiom ili pagas?	how much they pay?	그들은 얼마만큼 지불합니까?	combien ils paient ?	彼らはいくら払いますか？	他们付多少钱？	他們付多少錢？	họ trả bao nhiêu?
pagas al li	pays him	그에게 지불한다	le paie	彼に支払う	付钱给他	付錢給他	trả tiền cho anh ta
pagas por unu mortigo	pays for one kill	살인 한 번에 대해 지불한다	paie pour un kill	一回の殺人に対して支払う	一杀付费	一殺付費	trả giá cho một lần giết
certe ne malpli ol ~	certainly not less than ~	확실히 ~ 보다는 적지 않게	certainement pas moins de ~	確かに～より少なくない	肯定不少于~	肯定不少於~	chắc chắn không ít hơn ~
ol cent moneroj	than a hundred coins	동전 100개보다	qu'une centaine de pièces	コイン100枚より	超过一百个硬币	超過一百個硬幣	hơn một trăm xu
ne forgesu, ke ~	don't forget that ~	~하다는 것을 잊지 마세요	n'oublie pas ça ~	~であることを忘れないでください	别忘了这一点~	別忘了這一點~	đừng quên điều đó ~
ke li laboras por tiuj	that he works for them	그가 그들을 위해 일한다는 것	qu'il travaille pour eux	彼が彼らのために働いていること	他为他们工作	他為他們工作	rằng anh ấy làm việc cho họ
por tiuj, kiuj havas sufiĉe da mono	for those who have enough money	그들을 위해, 충분한 돈을 가진 그들	pour ceux qui ont assez d'argent	彼らのために、十分なお金を持っている彼ら	对于那些有足够钱的人	對於那些有足夠錢的人	dành cho những người có đủ tiền
por pagi al li	to pay him	그에게 지불하기 위해	pour le payer	彼に支払うために	付钱给他	付錢給他	trả tiền cho anh ta
en Venecio estas ~	in Venice there is ~	베네치아 안에는 ~이 있다	à Venise il y a ~	ヴェネツィアの中には～がある	威尼斯有~	威尼斯有~	ở Venice có ~
tiuj aferoj	those things	그러한 사건들	ces choses	そのような出来事	那些事	那些事	Nhũng thứ đó
forgesi tiujn aferojn	to forget those things	그러한 사건들을 잊다	oublier ces choses	そのような出来事を忘れる	忘记那些事情	忘記那些事情	quên đi những điều đó
aferoj, kiujn estas pli bone forgesi	things that are better forgotten	사건들, 잊어버리는 것이 더 좋은 그런	des choses qu'il vaut mieux oublier	出来事、忘れたほうがいいようなそんなこと	最好忘记的事情	最好忘記的事情	những điều tốt hơn nên quên đi
se vi volas trankvile manĝi	if you want to eat in peace	만약 당신이 고요하게 먹고 싶으면	si tu veux manger en paix	もしあなたが静かに食べたいなら	如果你想安静地吃饭	如果你想安靜地吃飯	nếu bạn muốn ăn trong yên bình
trankvile manĝi vian panon	to eat your bread in peace	당신의 빵을 고요하게 먹다	manger ton pain en paix	あなたのパンを静かに食べる	平静地吃你的面包	平靜地吃你的麵包	ăn bánh mì của bạn trong hòa bình
estis iom da silento	there was some silence	약간의 정적이 흘렀다	il y a eu un peu de silence	少し静寂が流れた	一阵沉默	一陣沉默	có một chút im lặng
kaj poste	and later	그리고 나중에	et ensuite	そして後で	然后	然後	và sau đó
la gondolisto denove ekparolis	the gondolier spoke again	그 곤돌라 운전수는 다시 말을 시작했다	le gondolier parla encore	そのゴンドラ運転手は再び話し始めた	贡多拉船夫又说话了	貢多拉船夫又說話了	người chèo thuyền lại nói
vi venis ĝustatempe	you came just in time	당신은 적당한 시간에 왔습니다	tu es arrivé juste à temps	あなたは適切な時期に来ました	你来得正是时候	你來得正是時候	bạn đã đến đúng lúc
por vidi ŝipkuron	to see a boat race	보트 경주를 보기 위해	voir une course de bateaux	ボートレースを見るために	看划船比赛	看划船比賽	để xem một cuộc đua thuyền
