eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn	mn	th	ms	id	hi	fa	ne	ur	tr	he	ar	de	es	it	pt	ru	pl	km	my	bn	ta	pa	mr	te	uk	sv	sw
malplaĉa ĝeno	an unpleasant nuisance	불쾌한 방해	une nuisance désagréable	不快な妨害	令人不愉快的滋扰	令人不愉快的滋擾	một sự phiền toái khó chịu	таагүй таагүй байдал	ความรำคาญที่ไม่พึงประสงค์	gangguan yang tidak menyenangkan	gangguan yang tidak menyenangkan	एक अप्रिय उपद्रव	یک مزاحمت ناخوشایند	एक अप्रिय उपद्रव	ایک ناخوشگوار پریشانی	hoş olmayan bir rahatsızlık	מטרד לא נעים	إزعاج غير سارة	ein unangenehmes Ärgernis	una molestia desagradable	uno spiacevole fastidio	um incômodo desagradável	неприятная неприятность	nieprzyjemna dolegliwość	ភាពរំខានមិនល្អ	မနှစ်မြို့ဖွယ် အနှောင့်အယှက်တစ်ခု	একটি অপ্রীতিকর উপদ্রব	ஒரு விரும்பத்தகாத தொல்லை	ਇੱਕ ਕੋਝਾ ਪਰੇਸ਼ਾਨੀ	एक अप्रिय उपद्रव	ఒక అసహ్యకరమైన ఉపద్రవం	неприємна неприємність	en obehaglig olägenhet	kero isiyopendeza
per si	by himself	자기스스로	par lui-même	自分で	他自己	他自己	bằng chính anh ấy	өөрөө	ด้วยตัวเอง	dengan sendiri	sendiri	खुद के द्वारा	توسط خودش	आफैले	خود سے	kendi başına	על ידי עצמו	بنفسه	selbst	por sí mismo	da solo	sozinhos	сам	samodzielnie	ដោយខ្លួនឯង។	သူကိုယ်တိုင်	নিজের দ্বারা	தன்னால்	ਆਪਣੇ ਆਪ ਦੁਆਰਾ	त्याने स्वत	తనకు తానే	самостійно	själv	peke yake
prezentas malplaĉan ĝenon	presents an unpleasant nuisance	불쾌하고 성가시게 한다	présente une nuisance désagréable	不快で迷惑を掛ける	造成不愉快的滋扰	造成不愉快的滋擾	gây phiền toái khó chịu	таагүй таагүй байдлыг харуулдаг	นำเสนอความรำคาญอันไม่พึงประสงค์	menimbulkan gangguan yang tidak menyenangkan	menghadirkan gangguan yang tidak menyenangkan	एक अप्रिय उपद्रव प्रस्तुत करता है	یک مزاحمت ناخوشایند ایجاد می کند	एक अप्रिय उपद्रव प्रस्तुत गर्दछ	ایک ناخوشگوار پریشانی پیش کرتا ہے۔	hoş olmayan bir sıkıntı sunuyor	מציג מטרד לא נעים	يمثل إزعاجا غير سارة	stellt ein unangenehmes Ärgernis dar	presenta una molestia desagradable	presenta uno spiacevole fastidio	apresenta um incômodo desagradável	представляет неприятную неприятность	stanowi nieprzyjemną dolegliwość	បង្ហាញពីការរំខានមិនល្អ	မနှစ်မြို့ဖွယ် အနှောက်အယှက် ပေးသည်။	একটি অপ্রীতিকর উপদ্রব উপস্থাপন	விரும்பத்தகாத தொல்லை அளிக்கிறது	ਇੱਕ ਕੋਝਾ ਪਰੇਸ਼ਾਨੀ ਪੇਸ਼ ਕਰਦਾ ਹੈ	एक अप्रिय उपद्रव सादर करते	అసహ్యకరమైన విసుగును అందిస్తుంది	доставляє неприємну неприємність	utgör en obehaglig olägenhet	inatoa kero isiyofurahisha
prezentas per si malplaĉan ĝenon	presents itself as an unpleasant nuisance	자기스스로 불쾌하고 성가시게 한다	se présente comme une nuisance désagréable	自分で不快で迷惑を掛ける	表现为令人不愉快的滋扰	表現為令人不愉快的滋擾	thể hiện bản thân như một mối phiền toái khó chịu	тааламжгүй таагүй байдал гэж өөрийгөө харуулдаг	ย่อมแสดงตัวเป็นความรำคาญอันไม่พึงประสงค์	menunjukkan dirinya sebagai gangguan yang tidak menyenangkan	menampilkan dirinya sebagai gangguan yang tidak menyenangkan	स्वयं को एक अप्रिय उपद्रव के रूप में प्रस्तुत करता है	خود را به عنوان یک مزاحم ناخوشایند نشان می دهد	आफैलाई एक अप्रिय उपद्रव रूपमा प्रस्तुत गर्दछ	خود کو ایک ناخوشگوار پریشانی کے طور پر پیش کرتا ہے۔	kendini hoş olmayan bir sıkıntı olarak sunuyor	מציג את עצמו כמטרד לא נעים	يقدم نفسه على أنه مصدر إزعاج غير سارة	stellt sich als unangenehmes Ärgernis dar	se presenta como una molestia desagradable	si presenta come uno spiacevole fastidio	apresenta-se como um incômodo desagradável	представляет собой неприятную неприятность	prezentuje się jako nieprzyjemna dokuczliwość	បង្ហាញ​ខ្លួន​ថា​ជា​ការ​រំខាន​មិន​រីករាយ​មួយ​	မနှစ်မြို့ဖွယ် အနှောက်အယှက်တစ်ခုအဖြစ် သူ့ကိုယ်သူတင်ပြသည်။	নিজেকে একটি অপ্রীতিকর উপদ্রব হিসাবে উপস্থাপন করে	தன்னை ஒரு விரும்பத்தகாத தொல்லையாகக் காட்டுகிறது	ਆਪਣੇ ਆਪ ਨੂੰ ਇੱਕ ਕੋਝਾ ਪਰੇਸ਼ਾਨੀ ਵਜੋਂ ਪੇਸ਼ ਕਰਦਾ ਹੈ	एक अप्रिय उपद्रव म्हणून स्वतःला सादर करते	తనను తాను అసహ్యకరమైన విసుగుగా చూపుతుంది	представляє себе як неприємну неприємність	framstår som en obehaglig olägenhet	inajidhihirisha kama kero isiyopendeza
en loko arboplena	in a place full of trees	나무가 가득한 장소에	dans un endroit plein d'arbres	木がいっぱいの場所に	在一个长满树木的地方	在一個長滿樹木的地方	ở một nơi có nhiều cây cối	модоор дүүрэн газар	ในที่ซึ่งเต็มไปด้วยต้นไม้	di tempat yang penuh dengan pokok	di tempat yang penuh dengan pepohonan	पेड़ों से भरे स्थान पर	در مکانی پر از درخت	रूखहरूले भरिएको ठाउँमा	درختوں سے بھری جگہ پر	ağaçlarla dolu bir yerde	במקום מלא עצים	في مكان مليء بالأشجار	an einem Ort voller Bäume	en un lugar lleno de árboles	in un luogo pieno di alberi	em um lugar cheio de árvores	в месте, полном деревьев	w miejscu pełnym drzew	នៅកន្លែងដែលពោរពេញដោយដើមឈើ	သစ်ပင်တွေနဲ့ ပြည့်နေတဲ့ နေရာမှာ	গাছে ভরা জায়গায়	மரங்கள் நிறைந்த இடத்தில்	ਰੁੱਖਾਂ ਨਾਲ ਭਰੀ ਜਗ੍ਹਾ ਵਿੱਚ	झाडांनी भरलेल्या ठिकाणी	చెట్లతో నిండిన ప్రదేశంలో	у місці, повному дерев	på en plats full av träd	mahali penye miti mingi
tiam, kiam oni devojiĝis	then, when one went astray	그 때, 누군가가 길을 잃었던 그	puis, quand on s'égarait	その時、誰かが迷子になった	然后，当一个人误入歧途时	然後，當一個人誤入歧途時	rồi khi một người lạc lối	дараа нь, хэн нэг нь төөрөх үед	ครั้นแล้วมีผู้หนึ่งหลงทางไป	kemudian, apabila seseorang telah sesat	kemudian, ketika seseorang tersesat	फिर, जब कोई भटक गया	سپس، هنگامی که شخص به بیراهه رفت	तब, जब कोही भटकियो	پھر جب کوئی گمراہ ہو گیا۔	sonra kişi yoldan çıktığında	לאחר מכן, כאשר אחד הלך שולל	ثم عندما ضل أحد	dann, wenn man in die Irre ging	entonces, cuando uno se extraviaba	poi, quando uno si perdeva	então, quando alguém se extraviou	потом, когда кто-то сбился с пути	potem, gdy ktoś zbłądził	បន្ទាប់មកនៅពេលដែលមនុស្សម្នាក់បានវង្វេង	လူသည် လမ်းလွဲသောအခါ၊	অতঃপর যখন কেউ পথভ্রষ্ট হয়	பின்னர், ஒருவர் வழிதவறியபோது	ਫਿਰ, ਜਦੋਂ ਕੋਈ ਕੁਰਾਹੇ ਪੈ ਗਿਆ	मग, जेव्हा एखादा माणूस भरकटला	అప్పుడు, ఒకరు దారితప్పినప్పుడు	тоді, коли хтось заблукав	sedan, när man gick vilse	basi, mtu alipopotea
en nehoma sovaĝejo	in an inhuman wilderness	인적이 드문 야생지에	dans un désert inhumain	人的で珍しい野生の地に	在无人的荒野中	在無人的荒野中	ở nơi hoang vu vô nhân đạo	хүнлэг бус аглаг буйдад	ในถิ่นทุรกันดารที่ไร้มนุษยธรรม	dalam hutan belantara yang tidak berperikemanusiaan	di hutan belantara yang tidak manusiawi	एक अमानवीय जंगल में	در یک بیابان غیرانسانی	अमानवीय मरुभूमिमा	ایک غیر انسانی بیابان میں	insanlık dışı bir çölde	במדבר לא אנושי	في برية غير إنسانية	in einer unmenschlichen Wildnis	en un desierto inhumano	in un deserto disumano	em um deserto desumano	в нечеловеческой пустыне	na nieludzkiej pustyni	នៅក្នុងទីរហោស្ថានអមនុស្សធម៌	လူမဆန်တဲ့ တောထဲမှာ	একটি অমানবিক প্রান্তরে	ஒரு மனிதாபிமானமற்ற வனாந்தரத்தில்	ਇੱਕ ਅਣਮਨੁੱਖੀ ਉਜਾੜ ਵਿੱਚ	एका अमानवी वाळवंटात	అమానవీయ అరణ్యంలో	в нелюдській пустелі	i en omänsklig vildmark	katika jangwa lisilo la kibinadamu
kaj ekstervoje iraĉas	and goes off the road in chaos	그리고 길을 벗어나서 헤맨다	et quitte la route dans le chaos	そして道を離れて迷う	并在混乱中离开道路	並在混亂中離開道路	và lao ra đường trong hỗn loạn	замаас гарч эмх замбараагүй явна	และออกนอกเส้นทางไปอย่างโกลาหล	dan keluar dari jalan dalam keadaan huru-hara	dan keluar dari jalan dalam kekacauan	और अराजकता में सड़क से हट जाता है	و در هرج و مرج از جاده خارج می شود	र अराजकता मा सडक बाहिर जान्छ	اور افراتفری میں سڑک سے ہٹ جاتا ہے۔	ve kaos içinde yoldan çıkıyor	ויורד מהכביש בכאוס	ويخرج عن الطريق في حالة من الفوضى	und kommt im Chaos von der Straße ab	y se sale del camino en el caos	e va fuori strada nel caos	e sai da estrada no caos	и в хаосе съезжает с дороги	i w chaosie wypada z drogi	ហើយចេញទៅតាមផ្លូវដោយភាពវឹកវរ	ရုန်းရင်းဆန်ခတ်နဲ့ လမ်းကထွက်သွားတယ်။	এবং বিশৃঙ্খল মধ্যে রাস্তা বন্ধ যায়	மற்றும் குழப்பத்தில் சாலையில் செல்கிறது	ਅਤੇ ਹਫੜਾ-ਦਫੜੀ ਵਿੱਚ ਸੜਕ ਤੋਂ ਬਾਹਰ ਚਲਾ ਜਾਂਦਾ ਹੈ	आणि गोंधळात रस्त्यावर जातो	మరియు గందరగోళంలో రోడ్డుపైకి వెళుతుంది	і з’їжджає з дороги в хаосі	och går av vägen i kaos	na huenda nje ya barabara katika machafuko
alta larĝa korpo	a tall large body	키가 크고 거대한 몸집	un grand corps	背が高くて巨大な小柄	高大的身躯	高大的身軀	một cơ thể to lớn cao lớn	өндөр том биетэй	ร่างสูงใหญ่	berbadan besar tinggi	tubuh tinggi besar	एक लंबा विशाल शरीर	یک بدن بزرگ بلند	अग्लो ठूलो शरीर	ایک لمبا بڑا جسم	uzun boylu büyük bir vücut	גוף גבוה וגדול	جسم كبير طويل القامة	ein großer großer Körper	un cuerpo alto y grande	un corpo alto e grande	um corpo alto e grande	высокое большое тело	wysokie, duże ciało	រាងកាយធំខ្ពស់។	အရပ်ရှည်သော ခန္ဓာကိုယ်ကြီး	একটি লম্বা বড় শরীর	ஒரு உயரமான பெரிய உடல்	ਇੱਕ ਲੰਬਾ ਵੱਡਾ ਸਰੀਰ	एक उंच मोठे शरीर	ఒక పొడవైన పెద్ద శరీరం	високе велике тіло	en lång stor kropp	mwili mrefu mkubwa
ne sukcesis pasi ~	failed to pass ~	~를 통과하는데 성공하지 못했다	n'a pas réussi ~	〜を通過するのに成功しなかった	未能通过~	未能通過~	không vượt qua được ~	давж чадсангүй ~	ไม่ผ่าน~	gagal lulus ~	gagal lulus ~	पास होने में असफल ~	موفق نشد ~	पास गर्न असफल ~	پاس کرنے میں ناکام ~	geçemedi ~	לא הצליח לעבור ~	فشل في المرور ~	konnte nicht bestehen ~	no pudo pasar ~	non è riuscito a passare ~	não conseguiu passar ~	не удалось пройти ~	nie udało się przejść ~	បរាជ័យក្នុងការឆ្លងកាត់ ~	မအောင်မြင်ပါ ~	পাস করতে ব্যর্থ ~	தேர்ச்சி பெற முடியவில்லை ~	ਪਾਸ ਕਰਨ ਵਿੱਚ ਅਸਫਲ ~	पास करण्यात अयशस्वी ~	పాస్ చేయడంలో విఫలమైంది ~	не вдалося пройти ~	misslyckades med att klara ~	Imeshindwa kupita ~
inter la arbetoj	among the bushes	그 작은 관목들 사이에	parmi les buissons	その小さな低木の間に	灌木丛中	灌木叢中	giữa những bụi cây	бутнуудын дунд	ท่ามกลางพุ่มไม้	antara semak	di antara semak-semak	झाड़ियों के बीच	در میان بوته ها	झाडीहरू बीच	جھاڑیوں کے درمیان	çalıların arasında	בין השיחים	بين الشجيرات	zwischen den Büschen	entre los arbustos	tra i cespugli	entre os arbustos	среди кустов	wśród krzaków	ក្នុងចំណោមគុម្ពោត	ချုံပုတ်တွေကြားမှာ	ঝোপের মধ্যে	புதர்களுக்கு மத்தியில்	ਝਾੜੀਆਂ ਵਿਚਕਾਰ	झुडुपांमध्ये	పొదల మధ్య	серед кущів	bland buskarna	kati ya vichaka
krome tuŝi la naturaĵojn	in addition to touching the natural things	자연 그대로를 손대는 것 외에	en plus de toucher les choses naturelles	自然のままに触れる以外に	除了接触自然的事物	除了接觸大自然的事物	ngoài việc chạm vào những thứ tự nhiên	байгалийн зүйлд хүрэхээс гадна	นอกจากจะได้สัมผัสถึงสิ่งที่เป็นธรรมชาติแล้ว	di samping menyentuh perkara semula jadi	selain menyentuh hal-hal yang alami	प्राकृतिक चीजों को छूने के अलावा	علاوه بر لمس چیزهای طبیعی	प्राकृतिक चीजहरू छुनुको अतिरिक्त	قدرتی چیزوں کو چھونے کے علاوہ	doğal şeylere dokunmanın yanı sıra	בנוסף לגעת בדברים הטבעיים	بالإضافة إلى لمس الأشياء الطبيعية	zusätzlich zum Berühren der natürlichen Dinge	además de tocar las cosas naturales	oltre a toccare le cose naturali	além de tocar as coisas naturais	помимо прикосновения к естественным вещам	oprócz dotykania rzeczy naturalnych	បន្ថែមពីលើការប៉ះវត្ថុធម្មជាតិ	အပြင်က သဘာဝ အရာတွေကို ထိတွေ့တယ်။	প্রাকৃতিক জিনিস স্পর্শ ছাড়াও	இயற்கையான விஷயங்களைத் தொடுவதைத் தவிர	ਕੁਦਰਤੀ ਚੀਜ਼ਾਂ ਨੂੰ ਛੂਹਣ ਤੋਂ ਇਲਾਵਾ	नैसर्गिक गोष्टींना स्पर्श करण्याव्यतिरिक्त	సహజమైన వస్తువులను తాకడంతో పాటు	на додаток до дотику до природних речей	förutom att röra de naturliga sakerna	pamoja na kugusa vitu vya asili
ĝenerale malsekajn	generally wet	일반적으로 축축한	généralement humide	一般的に湿った	一般是湿的	一般是濕的	nói chung là ướt	ерөнхийдөө нойтон	โดยทั่วไปจะเปียก	umumnya basah	umumnya basah	आम तौर पर गीला	به طور کلی مرطوب	सामान्यतया भिजेको	عام طور پر گیلے	genellikle ıslak	רטוב בדרך כלל	الرطب عموما	im Allgemeinen nass	generalmente mojado	generalmente bagnato	geralmente molhado	вообще мокрый	ogólnie mokry	ជាទូទៅសើម	ယေဘုယျအားဖြင့်စိုစွတ်သော	সাধারণত ভিজা	பொதுவாக ஈரமானது	ਆਮ ਤੌਰ 'ਤੇ ਗਿੱਲੇ	साधारणपणे ओले	సాధారణంగా తడి	взагалі мокрий	allmänt våt	kwa ujumla mvua
meze de malsekaj naturaĵoj	in the middle of wet nature	축축한 야생의 중간에	au milieu d'une nature humide	湿った野生の途中で	在潮湿的大自然中	在潮濕的大自然中	giữa thiên nhiên ẩm ướt	нойтон байгалийн дунд	ท่ามกลางธรรมชาติอันเปียกชื้น	di tengah-tengah alam basah	di tengah alam basah	गीली प्रकृति के बीच में	در میان طبیعت خیس	भिजेको प्रकृतिको बीचमा	گیلی فطرت کے وسط میں	ıslak doğanın ortasında	באמצע הטבע הרטוב	وسط الطبيعة الرطبة	mitten in der nassen Natur	en medio de la naturaleza mojada	in mezzo alla natura umida	no meio da natureza molhada	посреди влажной природы	pośrodku mokrej przyrody	នៅកណ្តាលធម្មជាតិសើម	စိုစွတ်သောသဘာဝ၏အလယ်၌	ভেজা প্রকৃতির মাঝখানে	ஈரமான இயற்கையின் நடுவில்	ਗਿੱਲੇ ਕੁਦਰਤ ਦੇ ਮੱਧ ਵਿੱਚ	ओल्या निसर्गाच्या मध्यभागी	తడి ప్రకృతి మధ్యలో	посеред вологої природи	mitt i blöt natur	katikati ya asili ya mvua
malsekaj naturaĵoj, meze de kiuj ~	wet natural things, in the middle of which ~	축축한 야생의 것들, 그것들의 중간에 ~	des choses naturelles humides, au milieu desquelles ~	湿った野生のもの、それらの真ん中に〜	潮湿的自然事物，在其中~	潮濕的自然事物，在其中~	những thứ tự nhiên ẩm ướt, ở giữa ~	нойтон байгалийн зүйл, дунд нь ~	ของธรรมชาติเปียกๆ ตรงกลาง ~	benda alam basah, di tengah-tengahnya ~	benda alam yang basah, yang ditengahnya ~	गीली प्राकृतिक चीजें, जिसके बीच में ~	چیزهای طبیعی مرطوب که در وسط آن ~	भिजेको प्राकृतिक चीजहरू, जसको बीचमा ~	گیلی قدرتی چیزیں، جس کے بیچ میں ~	ıslak doğal şeyler, bunların ortasında ~	דברים טבעיים רטובים, שבאמצעם ~	الأشياء الطبيعية الرطبة، في وسطها ~	nasse natürliche Dinge, in deren Mitte ~	cosas naturales mojadas, en medio de las cuales ~	cose naturali bagnate, in mezzo alle quali ~	coisas naturais molhadas, no meio das quais ~	мокрые природные вещи, посреди которых ~	mokre naturalne rzeczy, w środku których ~	វត្ថុធម្មជាតិសើមនៅកណ្តាលដែល ~	စိုစွတ်သောသဘာဝအရာ၊	ভেজা প্রাকৃতিক জিনিস, যার মাঝখানে ~	ஈரமான இயற்கை விஷயங்கள், அதன் நடுவில் ~	ਗਿੱਲੀਆਂ ਕੁਦਰਤੀ ਚੀਜ਼ਾਂ, ਜਿਸ ਦੇ ਵਿਚਕਾਰ ~	ओल्या नैसर्गिक गोष्टी, ज्याच्या मध्यभागी ~	తడి సహజ విషయాలు, మధ్యలో ~	мокрі натуральні речі, в середині яких ~	våta naturliga saker, i mitten av vilka ~	mvua vitu vya asili, katikati ambayo ~
li malfacile paŝis	he walked with difficulty	그는 어렵게 걸음 걸었다	il marchait avec difficulté	彼は難しく歩いた。	他艰难地行走	他艱難地行走	anh ấy bước đi một cách khó khăn	тэр хэцүүхэн алхав	เขาเดินด้วยความยากลำบาก	dia berjalan dengan susah payah	dia berjalan dengan susah payah	वह कठिनाई से चला	به سختی راه می رفت	ऊ कठिनाई संग हिंड्यो	وہ مشکل سے چلا	zorlukla yürüdü	הוא הלך בקושי	كان يمشي بصعوبة	er hatte Schwierigkeiten beim Gehen	caminó con dificultad	camminava con difficoltà	ele caminhou com dificuldade	он шел с трудом	szedł z trudem	គាត់បានដើរដោយការលំបាក	ခက်ခက်ခဲခဲ လျှောက်လှမ်းခဲ့တယ်။	সে কষ্ট করে হেঁটেছিল	அவர் சிரமத்துடன் நடந்தார்	ਉਹ ਮੁਸ਼ਕਲ ਨਾਲ ਤੁਰਿਆ	तो अवघडून चालला	అతను కష్టంతో నడిచాడు	він йшов важко	han gick med svårighet	alitembea kwa shida
estis travivaĵo	it was an experience	경험이었다	c'était une expérience	経験だった	这是一次经历	這是一次經歷	đó là một trải nghiệm	энэ бол туршлага байсан	มันเป็นประสบการณ์	ia adalah satu pengalaman	itu adalah sebuah pengalaman	यह एक अनुभव था	این یک تجربه بود	यो एक अनुभव थियो	یہ ایک تجربہ تھا	bu bir deneyimdi	זו הייתה חוויה	لقد كانت تجربة	es war ein Erlebnis	fue una experiencia	è stata un'esperienza	foi uma experiência	это был опыт	to było przeżycie	វាជាបទពិសោធន៍មួយ។	ဒါဟာ အတွေ့အကြုံတစ်ခုပါ။	এটি একটি অভিজ্ঞতা ছিল	அது ஒரு அனுபவம்	ਇਹ ਇੱਕ ਅਨੁਭਵ ਸੀ	तो एक अनुभव होता	అది ఒక అనుభవం	це був досвід	det var en upplevelse	ilikuwa ni uzoefu
ne malofte	not uncommon	드물지 않은	pas rare	まれではない	并不少见	並不少見	không phải là hiếm	ховор биш	ไม่ใช่เรื่องแปลก	tidak jarang	tidak jarang	साधारण है	غیر معمول نیست	असामान्य छैन	غیر معمولی نہیں	yaygın olmayan bir şey değil	לא נדיר	ليس مكرر	nicht ungewöhnlich	no poco comun	non raro	não é incomum	не редкость	nierzadki	មិនមែនជារឿងចម្លែកទេ។	မဆန်းပါ။	বিরল না	அசாதாரணமானது அல்ல	ਅਸਧਾਰਨ ਨਹੀਂ	असामान्य नाही	అసాధారణం కాదు	не рідкість	inte ovanligt	sio kawaida
doloriga kaj ĉiam malagrabla	painful and always unpleasant	아프게 하고 항상 달갑지 않은	douloureux et toujours désagréable	痛くていつも甘くない	痛苦且总是不愉快	痛苦且總是不愉快	đau đớn và luôn khó chịu	өвдөлттэй, үргэлж тааламжгүй байдаг	เจ็บปวดและไม่เป็นที่พอใจอยู่เสมอ	menyakitkan dan sentiasa tidak menyenangkan	menyakitkan dan selalu tidak menyenangkan	दर्दनाक और हमेशा अप्रिय	دردناک و همیشه ناخوشایند	पीडादायी र सधैं अप्रिय	دردناک اور ہمیشہ ناخوشگوار	acı verici ve her zaman tatsız	כואב ותמיד לא נעים	مؤلمة وغير سارة دائما	schmerzhaft und immer unangenehm	doloroso y siempre desagradable	doloroso e sempre spiacevole	doloroso e sempre desagradável	больно и всегда неприятно	bolesne i zawsze nieprzyjemne	ឈឺចាប់និងតែងតែមិនសប្បាយចិត្ត	နာကျင်ပြီး အမြဲတမ်း မနှစ်မြို့စရာပါ။	বেদনাদায়ক এবং সর্বদা অপ্রীতিকর	வலி மற்றும் எப்போதும் விரும்பத்தகாதது	ਦਰਦਨਾਕ ਅਤੇ ਹਮੇਸ਼ਾ ਕੋਝਾ	वेदनादायक आणि नेहमीच अप्रिय	బాధాకరమైన మరియు ఎల్లప్పుడూ అసహ్యకరమైన	болісно і завжди неприємно	smärtsamt och alltid obehagligt	chungu na haifurahishi kila wakati
ju pli ~	the more ~	~할 수록	plus ~	〜するほど	越多~	越多~	càng nhiều ~	илүү ~	ยิ่ง~	semakin banyak ~	semakin ~	जितना अधिक ~	بیشتر ~	अधिक ~	زیادہ ~	daha fazla ~	כמה שיותר ~	المزيد ~	desto mehr ~	cuanto más ~	più ~	quanto mais ~	тем более ~	tym bardziej ~	កាន់តែច្រើន ~	များများ ~	আরো ~	மேலும் ~	ਹੋਰ ~	अधिक ~	మరింత ~	тим більше ~	ju fler ~	zaidi ~
antaŭeniris en la vivo	moved forward in life	인생에서 앞으로 전진해 나갔다	avancé dans la vie	人生でこれから前進していった	在生活中前进	在生活中前進	tiến về phía trước trong cuộc sống	амьдралдаа урагшиллаа	ก้าวไปข้างหน้าในชีวิต	maju ke hadapan dalam kehidupan	bergerak maju dalam hidup	जीवन में आगे बढ़े	در زندگی رو به جلو حرکت کرد	जीवनमा अगाडि बढ्यो	زندگی میں آگے بڑھا	hayatta ilerledi	התקדם בחיים	تقدمت في الحياة	im Leben vorangekommen	avanzó en la vida	andato avanti nella vita	avançou na vida	продвинулся вперед в жизни	posunął się w życiu do przodu	បានឆ្ពោះទៅមុខក្នុងជីវិត	ဘဝမှာ ရှေ့ကို တိုးသွားတယ်။	জীবনে এগিয়ে গেছে	வாழ்க்கையில் முன்னேறியது	ਜ਼ਿੰਦਗੀ ਵਿੱਚ ਅੱਗੇ ਵਧਿਆ	आयुष्यात पुढे गेले	జీవితంలో ముందుకు సాగాడు	рухався вперед у житті	gått framåt i livet	kusonga mbele maishani
en la kastela arbaro	in the castle forest	그 성의 숲속에	dans la forêt du château	その城の森の中	在城堡森林里	在城堡森林裡	trong rừng lâu đài	цайзын ойд	ในป่าปราสาท	dalam hutan istana	di hutan kastil	महल के जंगल में	در جنگل قلعه	महलको जंगलमा	قلعے کے جنگل میں	kale ormanında	ביער הטירה	في غابة القلعة	im Burgwald	en el bosque del castillo	nella foresta del castello	na floresta do castelo	в замковом лесу	w lesie zamkowym	នៅក្នុងព្រៃប្រាសាទ	ရဲတိုက်သစ်တော၌	দুর্গের বনে	கோட்டை காட்டில்	ਕਿਲ੍ਹੇ ਦੇ ਜੰਗਲ ਵਿੱਚ	किल्ल्याच्या जंगलात	కోట అడవిలో	в замковому лісі	i slottsskogen	katika msitu wa ngome
ju pli antaŭeniris des pli malŝatis ~	the further went forward the more disliked ~	앞으로 전진해 갈수록 더욱 ~가 싫어졌다	plus on avançait, plus on était détesté ~	これから前進していくにつれて、もっと～が嫌になった	越往前越不喜欢~	越往前越不喜歡~	Càng tiến xa càng không thích ~	урагшлах тусам дургүй болох ~	ยิ่งเดินหน้ายิ่งไม่ชอบ~	semakin maju semakin tidak disukai ~	semakin maju semakin tidak disukai~	जितना आगे बढ़ा उतना अधिक नापसंद ~	هر چه جلوتر می رفت، نفرت بیشتر ~	जति अगाडि बढ्यो उति धेरै मन नपरेको ~	جتنا آگے بڑھا اتنا ہی ناپسندیدہ ~	ne kadar ileri gidersek o kadar sevilmiyorum ~	ככל שהתקדם יותר כך לא אהבו יותר ~	كلما تقدمت للأمام كلما لم يعجبك ~	Je weiter es voranging, desto unbeliebter wurde ~	cuanto más avanzaba, más disgustaba ~	più si andava avanti, più non mi piaceva ~	quanto mais avançava mais detestava ~	чем дальше шло вперед, тем больше не нравилось~	im dalej posuwał się do przodu, tym bardziej był nielubiany ~	កាន់តែទៅមុខ កាន់តែមិនចូលចិត្ត ~	မကြိုက်တာတွေ ပိုများလာလေလေ~	যত এগিয়ে গেল ততই অপছন্দ ~	மேலும் மேலும் பிடிக்கவில்லை ~	ਜਿੰਨਾ ਅੱਗੇ ਵਧਿਆ ਓਨਾ ਜ਼ਿਆਦਾ ਨਾਪਸੰਦ ~	जितके पुढे गेले तितके नापसंत ~	మరింత ఇష్టపడని ~	чим далі йшов вперед, тим більше не любив ~	ju längre fram desto mer ogillade ~	the more went forward the more disliked ~
malŝatis la noktan naturon	disliked the nocturnal nature	야간의 자연을 싫어했다	je n'ai pas aimé la nature nocturne	夜の自然が嫌いだった	不喜欢夜间的性质	不喜歡夜間的性質	không thích thiên nhiên về đêm	шөнийн шинж чанарт дургүй байв	ไม่ชอบธรรมชาติที่ออกหากินเวลากลางคืน	tidak menyukai sifat malam	tidak menyukai sifat nokturnal	रात्रिचर स्वभाव को नापसंद किया	طبیعت شبانه را دوست نداشت	निशाचर प्रकृति मन पर्दैन	رات کی فطرت کو ناپسند کیا۔	gece doğasını sevmedim	לא אהב את הטבע הלילי	لم يعجبني الطبيعة الليلية	mochte die nächtliche Natur nicht	no le gustaba la naturaleza nocturna	non mi piaceva la natura notturna	não gostava da natureza noturna	не любил ночной характер	nie lubił nocnej natury	មិនចូលចិត្តធម្មជាតិពេលយប់	ညအချိန်သဘာဝကို မကြိုက်	নিশাচর প্রকৃতি অপছন্দ	இரவு இயல்பை விரும்பவில்லை	ਰਾਤ ਦੇ ਸੁਭਾਅ ਨੂੰ ਨਾਪਸੰਦ ਕੀਤਾ	निशाचर स्वभाव नापसंत	రాత్రిపూట స్వభావాన్ని ఇష్టపడలేదు	не любив нічний спосіб життя	ogillade den nattliga naturen	hakupenda asili ya usiku
